s,rho,cyc0,cyc1,cyc2,cyc3,reach,curv_radius,half_nonlocal_sep,L,spacing,core_over_reach,spacing_over_core
1.799999999999999933e-01,-9.291167659936344636e-03,1.754879443297838459e-01,2.393095622923471777e-02,1.112087257392854744e-01,2.197501143996759623e-02,1.535783802059096370e-01,1.535783802059096370e-01,1.688008807342000206e-01,1.077226320884524213e+01,4.207915315955172708e-02,3.255666580996797177e-01,8.415830631910344861e-01
1.950000000000000067e-01,-8.792030367821876413e-03,1.774457571705456427e-01,2.353401160439064568e-02,1.112871666454933323e-01,2.093078411613592815e-02,1.532506807394052040e-01,1.532506807394052040e-01,1.687701271277402826e-01,1.077884716773755258e+01,4.210487174897481477e-02,3.262628247963374473e-01,8.420974349794962954e-01
2.099999999999999922e-01,-8.291488304200275716e-03,1.793656611771005105e-01,2.311019888756750060e-02,1.113627000937224831e-01,1.986932337645874735e-02,1.530432129725262658e-01,1.530432129725262658e-01,1.687028776341742142e-01,1.078562166365580310e+01,4.213133462365548088e-02,3.267051117711166630e-01,8.426266924731096175e-01
2.250000000000000056e-01,-7.788597428829521774e-03,1.812442119229099313e-01,2.265968479503101957e-02,1.114370335454167443e-01,1.879411161622506279e-02,1.529652560578899367e-01,1.529652560578899367e-01,1.685859271368357337e-01,1.079257811945087120e+01,4.215850827910496562e-02,3.268716131268228908e-01,8.431701655820992292e-01
2.399999999999999911e-01,-7.282454068797634961e-03,1.830782494760397616e-01,2.218267039836717414e-02,1.115118607548431229e-01,1.770848079602415498e-02,1.530252519877240980e-01,1.530252519877240980e-01,1.684613484701237562e-01,1.079970777414863825e+01,4.218635849276811817e-02,3.267434580275095368e-01,8.437271698553623356e-01
2.550000000000000044e-01,-6.772195254382058771e-03,1.848649184504537746e-01,2.167938951524713692e-02,1.115887616394358045e-01,1.661560522840007520e-02,1.518003156758132854e-01,1.518003156758132854e-01,1.683298007949871888e-01,1.080700166947294960e+01,4.221485027137870938e-02,3.293800792007616773e-01,8.442970054275741321e-01
2.700000000000000178e-01,-6.256998877937111625e-03,1.866016880321202109e-01,2.115010531287473197e-02,1.116690980558863872e-01,1.551849585019732074e-02,1.507033060430615912e-01,1.507033060430615912e-01,1.681920382406427161e-01,1.081445064274905121e+01,4.224394782323848130e-02,3.317777248079290531e-01,8.448789564647696260e-01
2.850000000000000311e-01,-5.736083654355746131e-03,1.882863766989739118e-01,2.059510310406681768e-02,1.117539296904062479e-01,1.441999623621713876e-02,1.497449928248785200e-01,1.497449928248785200e-01,1.680489066701774115e-01,1.082204532603700642e+01,4.227361455483205632e-02,3.339009809728545330e-01,8.454722910966411265e-01
2.999999999999999889e-01,-5.208708861993850692e-03,1.899171856628866228e-01,2.001467709528691533e-02,1.118439690534975550e-01,1.332278062631418389e-02,1.489277776057732483e-01,1.489277776057732483e-01,1.679013381828845797e-01,1.082977615113232694e+01,4.230381309036065213e-02,3.357332044016329564e-01,8.460762618072129593e-01
3.150000000000000022e-01,-4.674173851817890746e-03,1.914927439485704930e-01,1.940910978362288958e-02,1.119395831372509004e-01,1.222935412608971116e-02,1.482540099967468716e-01,1.482540099967468716e-01,1.677503441275083607e-01,1.083763335986028764e+01,4.233450531195424860e-02,3.372590056828624894e-01,8.466901062390849164e-01
3.300000000000000155e-01,-4.131817327713969978e-03,1.930121662325564591e-01,1.877864542864191022e-02,1.120408361998812691e-01,1.114205502802832239e-02,1.477267056039508475e-01,1.477267056039508475e-01,1.675970076475847836e-01,1.084560701890035261e+01,4.236565241757950240e-02,3.384628378165280838e-01,8.473130483515900480e-01
3.450000000000000289e-01,-3.581016412519427705e-03,1.944751214696492092e-01,1.812346354620708935e-02,1.121475585727641638e-01,1.006305893842635371e-02,1.473497759983828370e-01,1.473497759983828370e-01,1.674057548753086211e-01,1.085368703824295622e+01,4.239721499313654773e-02,3.393286461497488360e-01,8.479442998627308992e-01
3.599999999999999867e-01,-3.021185518467521536e-03,1.958819054521200587e-01,1.744366350764681856e-02,1.122594235835992771e-01,8.994384138986231611e-03,1.471277400465992036e-01,1.471277400465992036e-01,1.669212289217081313e-01,1.086186319232581177e+01,4.242915309502270221e-02,3.398407396468109409e-01,8.485830619004539610e-01
3.750000000000000000e-01,-2.451775042160361795e-03,1.972335041582286008e-01,1.673927462932237042e-02,1.123760183740735163e-01,7.937897399700742304e-03,1.470651933809168643e-01,1.470651933809168643e-01,1.664375991911685171e-01,1.087012514290999832e+01,4.246142633949218093e-02,3.399852735411966753e-01,8.492285267898436185e-01
3.900000000000000133e-01,-1.872269906872114920e-03,1.985316287673639657e-01,1.601030460351538648e-02,1.124969010837887085e-01,6.895319323537867952e-03,1.465862129955309012e-01,1.465862129955309012e-01,1.659570537582924221e-01,1.087846246281140061e+01,4.249399399535703364e-02,3.410961984639332978e-01,8.498798799071406451e-01
4.050000000000000266e-01,-1.282187977999227346e-03,1.997787003823454921e-01,1.525683072192640134e-02,1.126216420000330370e-01,5.868228285981599152e-03,1.452512811191553899e-01,1.452512811191553899e-01,1.651998786912442507e-01,1.088686465968382677e+01,4.252681507688994833e-02,3.442310430224916340e-01,8.505363015377989111e-01
4.199999999999999845e-01,-6.810783794717889528e-04,2.009777657047185362e-01,1.447912375964032460e-02,1.127498468810188281e-01,4.858062193181958074e-03,1.440741340203632037e-01,1.440741340203632037e-01,1.644414082308690572e-01,1.089532119914956709e+01,4.255984843417799646e-02,3.470435574017268210e-01,8.511969686835598736e-01
4.349999999999999978e-01,-6.851973933351407364e-05,2.021323355804275357e-01,1.367777794932796380e-02,1.128811572135891977e-01,3.866117674045086751e-03,1.430554699574637656e-01,1.430554699574637656e-01,1.636842216544031337e-01,1.090382152668193605e+01,4.259305283860131269e-02,3.495147722409149837e-01,8.518610567720261706e-01
4.500000000000000111e-01,5.558816104895489274e-04,2.032461551328964555e-01,1.285380931889967479e-02,1.130152183784713521e-01,2.893546940462662052e-03,1.421952490664902258e-01,1.421952490664902258e-01,1.629307740832283136e-01,1.091235508776185981e+01,4.262638706156976487e-02,3.516291882341308073e-01,8.525277412313952974e-01
4.650000000000000244e-01,1.192493462508631419e-03,2.043229327887173818e-01,1.200868585851738897e-02,1.131516074213592127e-01,1.941353292810035595e-03,1.414930675263922910e-01,1.414930675263922910e-01,1.621834140070266828e-01,1.092091134595966651e+01,4.265980994515494729e-02,3.533742032320675297e-01,8.531961989030989457e-01
4.799999999999999822e-01,1.841659579898916044e-03,2.053660697348896891e-01,1.114426956431745913e-02,1.132897204254493390e-01,1.010386912389534420e-03,1.409486130601451670e-01,1.409486130601451670e-01,1.614443503984881734e-01,1.092947979872720410e+01,4.269328046377814101e-02,3.547392125005455199e-01,8.538656092755627647e-01
4.949999999999999956e-01,2.503701555108449328e-03,2.063784355949404570e-01,1.026267841582590573e-02,1.134286344172615868e-01,1.013429267474114570e-04,1.405619619068008974e-01,1.405619619068008974e-01,1.607156266601712513e-01,1.093804999081046425e+01,4.272675777660337598e-02,3.557150122388895164e-01,8.545351555320674919e-01
5.100000000000000089e-01,3.178920679649283043e-03,2.073622277231652877e-01,9.366105080203662725e-03,1.135669751338782424e-01,-7.852364251409785483e-04,1.403336067298622813e-01,1.403336067298622813e-01,1.599991065938663193e-01,1.094661152530657056e+01,4.276020127072879123e-02,3.562938426876493536e-01,8.552040254145757414e-01
5.250000000000000222e-01,3.867599829243492660e-03,2.083189322714988356e-01,8.456645504972184341e-03,1.137028323397975549e-01,-1.648954393895334320e-03,1.402143077357596301e-01,1.402143077357596301e-01,1.592964756697754503e-01,1.095515407249516215e+01,4.279357059568422716e-02,3.565969893331237262e-01,8.558714119136845433e-01
5.400000000000000355e-01,4.570005369337153123e-03,2.092493809563009122e-01,7.536185834780394048e-03,1.138337621739277800e-01,-2.489547020332072338e-03,1.387432028470335366e-01,1.387432028470335366e-01,1.584391578941312939e-01,1.096366737666481939e+01,4.282682569009695073e-02,3.603780147350768015e-01,8.565365138019389590e-01
5.550000000000000488e-01,5.286389079409925529e-03,2.101538761245309028e-01,6.606371315738825481e-03,1.139568988381076398e-01,-3.306866200125017138e-03,1.374205290653808254e-01,1.374205290653808254e-01,1.575168459510717656e-01,1.097214126121750510e+01,4.285992680163087931e-02,3.638466562460359044e-01,8.571985360326175307e-01
5.700000000000000622e-01,6.016990087837036094e-03,2.110323451773877257e-01,5.668647299888500066e-03,1.140691692134884888e-01,-4.100860422031907260e-03,1.362436515570712436e-01,1.362436515570712436e-01,1.566086316544273160e-01,1.098056563237557093e+01,4.289283450146707394e-02,3.669895766046423757e-01,8.578566900293413955e-01
5.849999999999999645e-01,6.762036806118247589e-03,2.118844868770240475e-01,4.724336189669724358e-03,1.141675723203926240e-01,-4.871555393595344320e-03,1.352099594946696015e-01,1.352099594946696015e-01,1.557158648685775526e-01,1.098893048185055044e+01,4.292550969472871264e-02,3.697952442768918657e-01,8.585101938945741695e-01
5.999999999999999778e-01,7.521748845312765941e-03,2.127098848777100037e-01,3.774707446492802775e-03,1.142494619829139413e-01,-5.619036474570651869e-03,1.343167694237688281e-01,1.343167694237688281e-01,1.548398634146797570e-01,1.099722588885765973e+01,4.295791362835023330e-02,3.722543373735427985e-01,8.591582725670046106e-01
6.149999999999999911e-01,8.296338888719133331e-03,2.135080822054610805e-01,2.821012320676806635e-03,1.143127650803908990e-01,-6.343434109453596585e-03,1.335613807535696307e-01,1.335613807535696307e-01,1.539819170887971322e-01,1.100544202186616793e+01,4.299000789791471849e-02,3.743597117512105221e-01,8.598001579582943421e-01
6.300000000000000044e-01,9.086014494847707845e-03,2.142786269040736491e-01,1.864480960918839464e-03,1.143560832528103532e-01,-7.044912600717184725e-03,1.329412243683824879e-01,1.329412243683824879e-01,1.531432743419183784e-01,1.101356914047307711e+01,4.302175445497295747e-02,3.761060591818314869e-01,8.604350890994590939e-01
6.450000000000000178e-01,9.890979812839109653e-03,2.150211076408898858e-01,9.063016148744215423e-04,1.143786589231769596e-01,-7.723661924832867127e-03,1.324540010222436670e-01,1.324540010222436670e-01,1.523251159347061567e-01,1.102159759778717074e+01,4.305311561635613571e-02,3.774895406262831488e-01,8.610623123271227142e-01
6.600000000000000311e-01,1.071143719457685189e-02,2.157351965232847391e-01,-5.239208798027777622e-05,1.143802259298354745e-01,-8.379892070208028523e-03,1.320977273258119034e-01,1.320977273258119034e-01,1.515285228638591497e-01,1.102951784370388033e+01,4.308405407696828254e-02,3.785076474228637466e-01,8.616810815393656231e-01
6.750000000000000444e-01,1.154758868480883910e-02,2.164207069998304311e-01,-1.010510618164602676e-03,1.143607967024618949e-01,-9.013829568207398779e-03,1.318706709524255227e-01,1.318706709524255227e-01,1.507544464963009034e-01,1.103732042942992386e+01,4.311453292746064009e-02,3.791593660582671110e-01,8.622906585492127185e-01
6.900000000000000577e-01,1.239963737642427871e-02,2.170776629123201684e-01,-1.966978345087625011e-03,1.143204503228650026e-01,-9.625716296908087832e-03,1.307244298794137949e-01,1.307244298794137949e-01,1.500036869858130950e-01,1.104499601358990013e+01,4.314451567808554738e-02,3.824839782902269558e-01,8.628903135617108644e-01
7.049999999999999600e-01,1.326778862752411858e-02,2.177063663642501146e-01,-2.920700626374392057e-03,1.142591754721411362e-01,-1.021581096420902911e-02,1.293105209784164156e-01,1.293105209784164156e-01,1.492768823907832665e-01,1.105253537021534704e+01,4.317396628990369939e-02,3.866661399372572361e-01,8.634793257980739600e-01
7.199999999999999734e-01,1.415225113470612583e-02,2.183074506398063330e-01,-3.870545123576224749e-03,1.141767951651388585e-01,-1.078439366617234448e-02,1.280124040109590633e-01,1.280124040109590633e-01,1.485745068001300129e-01,1.105992939885089754e+01,4.320284921426131852e-02,3.905871496305899915e-01,8.640569842852263704e-01
7.349999999999999867e-01,1.505323785047608942e-02,2.188819097754594323e-01,-4.815342572243924354e-03,1.140729687411692894e-01,-1.133177347617509573e-02,1.268259446640535026e-01,1.268259446640535026e-01,1.477968576852612959e-01,1.106716913690050674e+01,4.323112944101760446e-02,3.942411005291063808e-01,8.646225888203520338e-01
7.500000000000000000e-01,1.597096673715703991e-02,2.194311050860171253e-01,-5.753898452017217405e-03,1.139472436131897110e-01,-1.185829826966798214e-02,1.257471521790154145e-01,1.257471521790154145e-01,1.469246009135385944e-01,1.107424577421115686e+01,4.325877255551233147e-02,3.976233189664549750e-01,8.651754511102466294e-01
7.650000000000000133e-01,1.690566135586969720e-02,2.199567562272835564e-01,-6.685001127620417150e-03,1.137991221355577204e-01,-1.236436520674835497e-02,1.247721347566058542e-01,1.247721347566058542e-01,1.460744601749790483e-01,1.108115066979488361e+01,4.328574480388626411e-02,4.007305004241168422e-01,8.657148960777252267e-01
7.800000000000000266e-01,1.785755128734745761e-02,2.204609267220184465e-01,-7.607417296225956957e-03,1.136281169327191809e-01,-1.285042979829220493e-02,1.238971047525884439e-01,1.238971047525884439e-01,1.452464552576229195e-01,1.108787537054769423e+01,4.331201316620193059e-02,4.035606812592237858e-01,8.662402633240385841e-01
7.950000000000000400e-01,1.882687238975620792e-02,2.209460107145203300e-01,-8.519876752858550686e-03,1.134337838976689355e-01,-1.331701149505743788e-02,1.231184060159042082e-01,1.231184060159042082e-01,1.444404277946990112e-01,1.109441163186445856e+01,4.333754543697054123e-02,4.061131200280573283e-01,8.667509087394107414e-01
8.100000000000000533e-01,1.981386692873328415e-02,2.214147214770741390e-01,-9.421056532314857693e-03,1.132157364801851668e-01,-1.376469430232399663e-02,1.224325326387667306e-01,1.224325326387667306e-01,1.436560213559302246e-01,1.110075144019027427e+01,4.336231031324325885e-02,4.083881867209543381e-01,8.672462062648651493e-01
8.250000000000000666e-01,2.081878364308886037e-02,2.218700767352821124e-01,-1.030957368374376196e-02,1.129736512650807156e-01,-1.419412187672055084e-02,1.218361236893217292e-01,1.218361236893217292e-01,1.428926670738110694e-01,1.110688703773855046e+01,4.338627749116621274e-02,4.103873177014267792e-01,8.677255498233241715e-01
8.399999999999999689e-01,2.184187781941042406e-02,2.223153742903682395e-01,-1.118398795148634051e-02,1.127072722256901444e-01,-1.460598761929366059e-02,1.213259383083173659e-01,1.213259383083173659e-01,1.421495773070746427e-01,1.111281094973719163e+01,4.340941777241090482e-02,4.121130295562882573e-01,8.681883554482180410e-01
8.549999999999999822e-01,2.288341145617626277e-02,2.227541543472553454e-01,-1.204280762443422394e-02,1.124164136835848343e-01,-1.500102113850856900e-02,1.208988268251384862e-01,1.208988268251384862e-01,1.414257465719745421e-01,1.111851601455325245e+01,4.343170318184864237e-02,4.135689428344684893e-01,8.686340636369728196e-01
8.699999999999999956e-01,2.394365360868238451e-02,2.231901504419148974e-01,-1.288449039924217769e-02,1.121009562598614673e-01,-1.537997291092235534e-02,1.203972189935976767e-01,1.203972189935976767e-01,1.407199563079320759e-01,1.112399541687522841e+01,4.345310709716886099e-02,4.152919844656780546e-01,8.690621419433771644e-01
