m,q,available_strain_impulse_I,stage_energy_ratio,time_ratio,Jreq_area_gate,energy_sum_ok,time_sum_ok,area_gate_ok,all_three_ok
2.000000000000000000e+00,4.765632829136907944e-02,3.000000000000000000e+00,1.906253131654763178e-01,1.135562813107372565e-03,3.390313440186388139e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,4.765632829136907944e-02,4.000000000000000000e+00,1.906253131654763178e-01,1.135562813107372565e-03,3.390313440186388139e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.000000000000000000e+00,4.860703670770665646e-02,1.000000000000000000e+00,1.944281468308266259e-01,1.181322008752171138e-03,3.370560560612048118e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,4.860703670770665646e-02,2.000000000000000000e+00,1.944281468308266259e-01,1.181322008752171138e-03,3.370560560612048118e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,4.860703670770665646e-02,3.000000000000000000e+00,1.944281468308266259e-01,1.181322008752171138e-03,3.370560560612048118e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,4.860703670770665646e-02,4.000000000000000000e+00,1.944281468308266259e-01,1.181322008752171138e-03,3.370560560612048118e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.000000000000000000e+00,4.957671105208152212e-02,1.000000000000000000e+00,1.983068442083260885e-01,1.228925139370791019e-03,3.350807681037708097e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,4.957671105208152212e-02,2.000000000000000000e+00,1.983068442083260885e-01,1.228925139370791019e-03,3.350807681037708097e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,4.957671105208152212e-02,3.000000000000000000e+00,1.983068442083260885e-01,1.228925139370791019e-03,3.350807681037708097e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,4.957671105208152212e-02,4.000000000000000000e+00,1.983068442083260885e-01,1.228925139370791019e-03,3.350807681037708097e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.000000000000000000e+00,5.056572968069639878e-02,1.000000000000000000e+00,2.022629187227855951e-01,1.278446509070630408e-03,3.331054801463368076e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,5.056572968069639878e-02,2.000000000000000000e+00,2.022629187227855951e-01,1.278446509070630408e-03,3.331054801463368076e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
