s,rho,reach,curv_radius,half_nonlocal_sep
5.999999999999999778e-01,1.674296736135425789e-01,2.373207529027481985e-02,3.784940165270996720e-02,2.373207529027481985e-02
6.149999999999999911e-01,2.425223689565852436e-01,2.309622709390712902e-02,4.149585051023765847e-02,2.309622709390712902e-02
6.300000000000000044e-01,2.312697528881740294e-01,2.613198039962494681e-02,3.834369447704122358e-02,2.613198039962494681e-02
6.450000000000000178e-01,3.253773596818378966e-01,1.908854427280770247e-02,3.786440201664408728e-02,1.908854427280770247e-02
6.600000000000000311e-01,3.545615204273808163e-01,2.623986135602975750e-02,3.666673828223703663e-02,2.623986135602975750e-02
6.750000000000000444e-01,4.540674499330746294e-01,1.897880434348465581e-02,3.734685674139659461e-02,1.897880434348465581e-02
6.900000000000000577e-01,4.446524063272337401e-01,2.418501200813377716e-02,3.621611635166512022e-02,2.418501200813377716e-02
7.049999999999999600e-01,5.631005235048630597e-01,2.280427367753671067e-02,3.863937560536670479e-02,2.280427367753671067e-02
7.199999999999999734e-01,5.092625093111603496e-01,2.348328528952649263e-02,3.974892159866245944e-02,2.348328528952649263e-02
7.349999999999999867e-01,9.577483702741015348e-01,2.682160684156562058e-02,5.630459783711912886e-02,2.682160684156562058e-02
7.500000000000000000e-01,-1.223374541226939505e-01,5.527721663527743363e-03,5.274252875124506301e-02,5.527721663527743363e-03
7.650000000000000133e-01,3.580865349063286351e-01,1.471904041482047232e-02,4.783925318997560988e-02,1.471904041482047232e-02
7.800000000000000266e-01,5.387352007120238540e-01,2.640203756911617752e-02,5.178689174696773923e-02,2.640203756911617752e-02
7.950000000000000400e-01,6.605104434300145266e-01,1.988164536231791860e-02,4.808745296985340867e-02,1.988164536231791860e-02
8.100000000000000533e-01,4.426413788035455377e-01,2.132305250948584446e-02,7.087103063583534424e-02,2.132305250948584446e-02
8.250000000000000666e-01,5.438276915286741620e-01,3.112777211657836995e-02,6.814812358356879540e-02,3.112777211657836995e-02
8.399999999999999689e-01,6.436971353456545364e-01,1.538721183703290092e-02,6.397385836664203074e-02,1.538721183703290092e-02
8.549999999999999822e-01,4.130475230529392916e-01,2.410172529285958820e-02,6.226696548207531767e-02,2.410172529285958820e-02
8.699999999999999956e-01,8.005213711255357856e-01,1.139135425348797477e-02,8.030236686262341717e-02,1.139135425348797477e-02
8.850000000000000089e-01,1.002786469614072917e+00,2.410141890411046303e-02,6.514467289489354884e-02,2.410141890411046303e-02
9.000000000000000222e-01,7.610342779265544255e-01,2.943581231510061444e-02,4.405685785934625176e-02,2.943581231510061444e-02
9.150000000000000355e-01,8.779241793160904583e-01,2.240285484196842883e-02,7.564906767001036703e-02,2.240285484196842883e-02
9.300000000000000488e-01,7.777708636529607755e-01,3.269622584475894572e-02,6.017317722158685434e-02,3.269622584475894572e-02
9.450000000000000622e-01,3.821799985083547679e-01,4.010961249279390572e-02,6.993439192071092270e-02,4.010961249279390572e-02
9.599999999999999645e-01,6.212602354401542959e-01,2.939642454388786963e-02,7.829277486879485104e-02,2.939642454388786963e-02
9.749999999999999778e-01,8.013652657606509244e-01,3.175868496649067452e-02,8.735946902221763954e-02,3.175868496649067452e-02
9.899999999999999911e-01,4.917344321501549986e-01,3.620722486347581481e-02,1.032261763068104826e-01,3.620722486347581481e-02
1.005000000000000115e+00,9.084879394514537854e-01,3.367932647111897965e-02,8.404117400422143891e-02,3.367932647111897965e-02
1.020000000000000018e+00,1.115398893236302147e+00,2.559737421179382813e-02,7.550726445189401281e-02,2.559737421179382813e-02
1.034999999999999920e+00,6.041627627487476948e-01,1.711233525520216431e-02,1.180933141745681286e-01,1.711233525520216431e-02
1.050000000000000044e+00,6.931367888597986804e-01,2.735016663597558684e-02,1.027945320765996789e-01,2.735016663597558684e-02
1.064999999999999947e+00,9.126537490425142840e-01,3.007024684017467128e-02,1.197965494961409638e-01,3.007024684017467128e-02
1.080000000000000071e+00,8.201053569717839942e-01,2.487823643127117304e-02,1.289979610511634012e-01,2.487823643127117304e-02
1.094999999999999973e+00,9.324361134107466142e-01,2.912564833940016473e-02,1.731435372066791323e-01,2.912564833940016473e-02
1.110000000000000098e+00,9.770507931556312586e-01,3.032331365907113899e-02,1.106255697568686025e-01,3.032331365907113899e-02
1.125000000000000000e+00,1.155623131240138823e+00,2.869240974530909427e-02,9.356541719777794475e-02,2.869240974530909427e-02
1.140000000000000124e+00,1.029814977096760176e+00,3.397841874144860719e-02,8.798791445506651265e-02,3.397841874144860719e-02
1.155000000000000027e+00,1.117710154388234622e+00,3.773279467579777890e-02,1.109307103361274888e-01,3.773279467579777890e-02
1.169999999999999929e+00,7.241194443352376720e-01,3.240275043957548812e-02,1.250115569767672741e-01,3.240275043957548812e-02
1.185000000000000053e+00,1.067821152193553225e+00,3.799472045225121830e-02,1.209344139932455042e-01,3.799472045225121830e-02
1.199999999999999956e+00,5.372166268272453582e-01,2.886448426840201517e-02,1.238535275256345825e-01,2.886448426840201517e-02
1.215000000000000080e+00,5.998600292085295438e-01,2.219280997147260806e-02,1.629144713011782819e-01,2.219280997147260806e-02
1.229999999999999982e+00,1.071043077975724067e+00,3.501312912195472804e-02,9.395072943993316994e-02,3.501312912195472804e-02
1.245000000000000107e+00,6.305435722149514977e-01,3.460667254664409609e-02,1.098512319850281360e-01,3.460667254664409609e-02
1.260000000000000009e+00,5.167831211132529745e-01,2.848377318817863282e-02,1.360582199011188820e-01,2.848377318817863282e-02
1.275000000000000133e+00,3.111228398725086608e-01,9.442418251161221326e-03,1.430043151209473284e-01,9.442418251161221326e-03
1.290000000000000036e+00,3.557837927449700177e-01,2.886294988050597601e-02,1.396568716270603916e-01,2.886294988050597601e-02
1.304999999999999938e+00,6.977663954613679831e-01,2.907098087216461457e-02,1.361501300477727938e-01,2.907098087216461457e-02
1.320000000000000062e+00,6.878152353986133338e-01,2.922561247820127522e-02,1.059376266503239405e-01,2.922561247820127522e-02
1.334999999999999964e+00,1.078239911438362286e+00,2.338837189959021290e-02,1.063027504586038230e-01,2.338837189959021290e-02
1.350000000000000089e+00,5.354300895680655925e-01,2.851160668301740836e-02,1.133495851845883889e-01,2.851160668301740836e-02
1.364999999999999991e+00,7.359741982304094376e-01,1.856548992756615682e-02,1.507574103288975009e-01,1.856548992756615682e-02
1.380000000000000115e+00,6.973061584842670246e-01,3.481307234537941997e-02,1.783954248136628284e-01,3.481307234537941997e-02
1.395000000000000018e+00,9.851790153146531281e-01,2.516290410286839418e-02,1.101862287541686275e-01,2.516290410286839418e-02
1.409999999999999920e+00,6.632683197931259489e-01,3.353165107000855710e-02,9.245884437972025360e-02,3.353165107000855710e-02
1.425000000000000044e+00,1.656036587426210849e+00,1.415786280993060371e-02,9.283792139993782278e-02,1.415786280993060371e-02
1.439999999999999947e+00,1.215642582487620915e+00,2.047237810188377166e-02,7.039302678217848608e-02,2.047237810188377166e-02
1.455000000000000071e+00,6.643788063886266748e-01,1.931775280865735689e-02,1.201523188201081005e-01,1.931775280865735689e-02
1.469999999999999973e+00,5.038208754282650359e-01,3.351611192069130912e-02,1.122964882299379158e-01,3.351611192069130912e-02
1.485000000000000098e+00,5.539611677293106995e-01,3.006471493729124048e-02,1.126390792415480901e-01,3.006471493729124048e-02
1.500000000000000000e+00,6.713991114434868512e-01,2.176243120297487871e-02,1.077560630562762883e-01,2.176243120297487871e-02
1.515000000000000124e+00,7.511000376499501474e-01,1.721062291529554950e-02,1.134954818111903602e-01,1.721062291529554950e-02
1.530000000000000027e+00,6.192044660422637570e-01,1.120674701614939733e-02,1.080938046517864598e-01,1.120674701614939733e-02
1.544999999999999929e+00,7.676914893990971489e-01,1.726232591014803877e-02,1.343493619725288635e-01,1.726232591014803877e-02
1.560000000000000053e+00,7.923080410502045812e-01,3.685075739345691770e-02,1.217463772371367436e-01,3.685075739345691770e-02
1.574999999999999956e+00,8.098092885871422952e-01,2.949210618613258561e-02,1.486990138970284425e-01,2.949210618613258561e-02
1.590000000000000080e+00,1.139915539739909445e+00,2.397332746271271103e-02,1.708764005102609562e-01,2.397332746271271103e-02
