s,logR_cumulative
1.364999999999999991e+00,4.392987526621715960e-02
1.380000000000000115e+00,4.945239290586964792e-02
1.395000000000000018e+00,5.312546591510282357e-02
1.409999999999999920e+00,5.673463693565532207e-02
1.425000000000000044e+00,6.075775233068582415e-02
1.439999999999999947e+00,6.431506038403982106e-02
1.455000000000000071e+00,6.730986747505818268e-02
1.469999999999999973e+00,7.056189788685326980e-02
1.485000000000000098e+00,7.704343243805258923e-02
1.500000000000000000e+00,8.431650102441397288e-02
1.515000000000000124e+00,9.104401580118770543e-02
1.530000000000000027e+00,9.721320789017701136e-02
1.544999999999999929e+00,1.008985871554128888e-01
1.560000000000000053e+00,1.056851803723653921e-01
1.574999999999999956e+00,1.129892091455085845e-01
1.590000000000000080e+00,1.206237537127181625e-01
1.604999999999999982e+00,1.270903235680430621e-01
1.620000000000000107e+00,1.254323098141955639e-01
1.635000000000000009e+00,1.253777299169142601e-01
1.650000000000000133e+00,1.342556666484467087e-01
1.665000000000000036e+00,1.394063641535480680e-01
1.679999999999999938e+00,1.417855448412472241e-01
1.695000000000000062e+00,1.469515340833825734e-01
1.709999999999999964e+00,1.542235990714957705e-01
1.725000000000000089e+00,1.612148431901519186e-01
1.739999999999999991e+00,1.667454855883769016e-01
1.755000000000000115e+00,1.715975637486809313e-01
1.770000000000000018e+00,1.764969304190538713e-01
1.785000000000000142e+00,1.818026610263156206e-01
1.800000000000000044e+00,1.892778438716425926e-01
1.814999999999999947e+00,1.964683881456911752e-01
1.830000000000000071e+00,2.022397446402741383e-01
1.844999999999999973e+00,2.089479222258632252e-01
1.860000000000000098e+00,2.173034115483643003e-01
1.875000000000000000e+00,2.260607754661929369e-01
1.890000000000000124e+00,2.326939106646876421e-01
1.905000000000000027e+00,2.381974911757693825e-01
1.919999999999999929e+00,2.472179210743788158e-01
1.935000000000000053e+00,2.565752009449546178e-01
1.949999999999999956e+00,2.623499359784947083e-01
1.965000000000000080e+00,2.671597047105720990e-01
1.979999999999999982e+00,2.718517121892855548e-01
1.995000000000000107e+00,2.773759662028340012e-01
2.010000000000000231e+00,2.862431326275850507e-01
2.024999999999999911e+00,2.950073220973714605e-01
2.040000000000000036e+00,3.005859396370576531e-01
2.055000000000000160e+00,3.055541010449048800e-01
2.069999999999999840e+00,3.104191982518095250e-01
2.084999999999999964e+00,3.152772470135582483e-01
2.100000000000000089e+00,3.197942535645363904e-01
2.115000000000000213e+00,3.250142769590999570e-01
2.129999999999999893e+00,3.326703687663413733e-01
2.145000000000000018e+00,3.402955712982513869e-01
2.160000000000000142e+00,3.447295381307259321e-01
2.175000000000000266e+00,3.486020280529895654e-01
2.189999999999999947e+00,3.539463697823140853e-01
2.205000000000000071e+00,3.603113924954056690e-01
2.220000000000000195e+00,3.690720277460329268e-01
2.234999999999999876e+00,3.790181913515892620e-01
2.250000000000000000e+00,3.886238126072571464e-01
2.265000000000000124e+00,3.977177772584380988e-01
2.280000000000000249e+00,4.058937132512684953e-01
2.294999999999999929e+00,4.139122160858628718e-01
2.310000000000000053e+00,4.228881306793036976e-01
2.325000000000000178e+00,4.322460443969399768e-01
2.339999999999999858e+00,4.400893203073587001e-01
2.354999999999999982e+00,4.478572209088423905e-01
2.370000000000000107e+00,4.573708872337015618e-01
2.385000000000000231e+00,4.687808868156634334e-01
2.399999999999999911e+00,4.798302999895083798e-01
2.415000000000000036e+00,4.871845415908441779e-01
2.430000000000000160e+00,4.958047823452179648e-01
2.444999999999999840e+00,5.071518449952965302e-01
2.459999999999999964e+00,5.159678334591358828e-01
2.475000000000000089e+00,5.227554172988805314e-01
2.490000000000000213e+00,5.291993239882842870e-01
2.504999999999999893e+00,5.354214903929790381e-01
2.520000000000000018e+00,5.436371669686266284e-01
2.535000000000000142e+00,5.551405796184105679e-01
2.550000000000000266e+00,5.646812119771162930e-01
2.564999999999999947e+00,5.718551573973295055e-01
2.580000000000000071e+00,5.807388089416379851e-01
2.595000000000000195e+00,5.898356148449642733e-01
2.609999999999999876e+00,5.965022774047575860e-01
2.625000000000000000e+00,6.017371437171075144e-01
2.640000000000000124e+00,6.082283545442582762e-01
2.655000000000000249e+00,6.150007629280934696e-01
2.669999999999999929e+00,6.208032038644047956e-01
2.685000000000000053e+00,6.267778464022627505e-01
2.700000000000000178e+00,6.344616186563560856e-01
2.714999999999999858e+00,6.444300555160490385e-01
2.729999999999999982e+00,6.524244196132121809e-01
2.745000000000000107e+00,6.574449131277769753e-01
2.760000000000000231e+00,6.629271911960671337e-01
2.774999999999999911e+00,6.698488623620582061e-01
2.790000000000000036e+00,6.780685731121121052e-01
2.805000000000000160e+00,6.859922543716947541e-01
2.819999999999999840e+00,6.937342596507506398e-01
2.834999999999999964e+00,7.017345596665837126e-01
2.850000000000000089e+00,7.093823634622976604e-01
2.865000000000000213e+00,7.172892987063052006e-01
2.879999999999999893e+00,7.255439122345755942e-01
2.895000000000000018e+00,7.347061280881963530e-01
2.910000000000000142e+00,7.430570791120792995e-01
2.925000000000000266e+00,7.504671380936809300e-01
2.939999999999999947e+00,7.566835837936177755e-01
2.955000000000000071e+00,7.609139232272917885e-01
2.970000000000000195e+00,7.656225363928912397e-01
2.984999999999999876e+00,7.728870366879293519e-01
3.000000000000000000e+00,7.829173264914065511e-01
3.015000000000000124e+00,7.947088771404187124e-01
3.030000000000000249e+00,8.070185118331366647e-01
3.044999999999999929e+00,8.215683269650466691e-01
3.060000000000000053e+00,8.380516458916197342e-01
3.075000000000000178e+00,8.507052835500290566e-01
3.089999999999999858e+00,8.622819810572724952e-01
3.104999999999999982e+00,8.720620464104736902e-01
3.120000000000000107e+00,8.821494729387669986e-01
3.135000000000000231e+00,8.949913805095854880e-01
3.149999999999999911e+00,9.118014652321778657e-01
3.165000000000000036e+00,9.277803015613771409e-01
3.180000000000000160e+00,9.364432136628769721e-01
3.195000000000000284e+00,9.433620617788414098e-01
3.209999999999999964e+00,9.513549537851715421e-01
3.225000000000000089e+00,9.608795808703404218e-01
3.240000000000000213e+00,9.709889194559839787e-01
3.254999999999999893e+00,9.847756752180061302e-01
3.270000000000000018e+00,1.002143134674609470e+00
3.285000000000000142e+00,1.020406995282895579e+00
3.300000000000000266e+00,1.039894690306582881e+00
3.314999999999999947e+00,1.056552952426741188e+00
3.330000000000000071e+00,1.072361273038410001e+00
3.345000000000000195e+00,1.086741485861972167e+00
3.359999999999999876e+00,1.095981030898661279e+00
3.375000000000000000e+00,1.106399011718847802e+00
3.390000000000000124e+00,1.116842623289429293e+00
3.405000000000000249e+00,1.124578245803291798e+00
3.419999999999999929e+00,1.131670193769465316e+00
3.435000000000000053e+00,1.139380453807201876e+00
3.450000000000000178e+00,1.147791681777299289e+00
3.464999999999999858e+00,1.156443431625841178e+00
3.479999999999999982e+00,1.163754999604892149e+00
3.495000000000000107e+00,1.169923886346372344e+00
3.510000000000000231e+00,1.176726182897683604e+00
3.524999999999999911e+00,1.183748310737648080e+00
3.540000000000000036e+00,1.190821361258128430e+00
3.555000000000000160e+00,1.198097898799655558e+00
3.570000000000000284e+00,1.204953536005334280e+00
3.584999999999999964e+00,1.210541216451785473e+00
3.600000000000000089e+00,1.215073340062608365e+00
3.615000000000000213e+00,1.219142796277974394e+00
3.629999999999999893e+00,1.223262901120485413e+00
3.645000000000000018e+00,1.227683184291492591e+00
3.660000000000000142e+00,1.232523973201635092e+00
3.675000000000000266e+00,1.237880008335640714e+00
3.689999999999999947e+00,1.243611581411168121e+00
3.705000000000000071e+00,1.249176992733241232e+00
3.720000000000000195e+00,1.254312403642765528e+00
3.734999999999999876e+00,1.259207241880318628e+00
3.750000000000000000e+00,1.263960952935502702e+00
3.765000000000000124e+00,1.268611551581640073e+00
3.780000000000000249e+00,1.274040288203013516e+00
3.794999999999999929e+00,1.280436235273460621e+00
3.810000000000000053e+00,1.287558175613770173e+00
3.825000000000000178e+00,1.293269788256238284e+00
3.839999999999999858e+00,1.297234916111823511e+00
3.854999999999999982e+00,1.301857242874347120e+00
3.870000000000000107e+00,1.310530769919092453e+00
3.885000000000000231e+00,1.320842786894817822e+00
3.899999999999999911e+00,1.329983147501827334e+00
3.915000000000000036e+00,1.337289426638249124e+00
3.930000000000000160e+00,1.344127043783942099e+00
3.945000000000000284e+00,1.351503854030357665e+00
3.959999999999999964e+00,1.357048979116812104e+00
3.975000000000000089e+00,1.362488771545129040e+00
3.990000000000000213e+00,1.368343164723199390e+00
4.004999999999999893e+00,1.375032086691803768e+00
4.020000000000000462e+00,1.382770193356958943e+00
4.035000000000000142e+00,1.393044750691913247e+00
4.049999999999999822e+00,1.405342996571292691e+00
4.065000000000000391e+00,1.414321298668141047e+00
4.080000000000000071e+00,1.421831751399798449e+00
4.094999999999999751e+00,1.432149442549926821e+00
4.110000000000000320e+00,1.440738244280400426e+00
4.125000000000000000e+00,1.446591275319534686e+00
4.139999999999999680e+00,1.453539245729135843e+00
4.155000000000000249e+00,1.462665671816715030e+00
