t,alpha_3to0,alpha_0to1,alpha_1to2,alpha_2to3,rg2dot,length,L_over_Rg,u_rms
1.700000000000000122e-01,3.997175203051236275e-02,4.511064360825937231e-02,7.136293553615076501e-02,6.451912458194807021e-02,-1.256188385087307346e-01,1.038265267452060669e+01,1.050469322547103523e+01,3.767823865532344274e-01
1.799999999999999933e-01,3.972188575445925046e-02,4.539355433182119121e-02,7.159110581755892544e-02,6.457896303063530297e-02,-1.243936072041428587e-01,1.038721989593168793e+01,1.051604457569325568e+01,3.768872741302713991e-01
1.900000000000000022e-01,3.947335476647292896e-02,4.567566081126255007e-02,7.181544880475553005e-02,6.460877352471008916e-02,-1.231664205917706034e-01,1.039202104495983470e+01,1.052758553717545809e+01,3.769931881578573174e-01
2.000000000000000111e-01,3.922627100241071751e-02,4.595690747730316744e-02,7.203599609311572838e-02,6.460883423878949205e-02,-1.219374550924498396e-01,1.039705464759704334e+01,1.053931455407125917e+01,3.771001038944593042e-01
2.099999999999999922e-01,3.898074274379188797e-02,4.623723792767431978e-02,7.225277963778259371e-02,6.457947974416226866e-02,-1.207068853432514965e-01,1.040231922467692627e+01,1.055123006380479822e+01,3.772079932614781361e-01
2.200000000000000011e-01,3.873687452473460052e-02,4.651659498920036884e-02,7.246583170398976370e-02,6.452110043835425357e-02,-1.194748839134058549e-01,1.040781329408527789e+01,1.056333049934391433e+01,3.773168248536174496e-01
2.300000000000000100e-01,3.849476705719626080e-02,4.679492078080762368e-02,7.267518481322181312e-02,6.443414193201310591e-02,-1.182416210357464664e-01,1.041353537290127029e+01,1.057561429139849984e+01,3.774265639598534117e-01
2.399999999999999911e-01,3.825451717387456235e-02,4.707215677703154716e-02,7.288087168541733385e-02,6.431910438948952591e-02,-1.170072643535815804e-01,1.041948397946150884e+01,1.058807987053619293e+01,3.775371725951762736e-01
2.500000000000000000e-01,3.801621778796979850e-02,4.734824387158731440e-02,7.308292517744091610e-02,6.417654181799870017e-02,-1.157719786827492436e-01,1.042565763534063095e+01,1.060072566920883652e+01,3.776486095432038392e-01
2.600000000000000089e-01,3.777995786886877150e-02,4.762312244056717686e-02,7.328137821807180485e-02,6.400706129902851427e-02,-1.145359257884724924e-01,1.043205486724347431e+01,1.061355012368463768e+01,3.777608304097074265e-01
2.700000000000000178e-01,3.754582243269319330e-02,4.789673240483085376e-02,7.347626373977560188e-02,6.381132215473360458e-02,-1.132992641765104419e-01,1.043867420880509300e+01,1.062655167588209970e+01,3.778737876870193468e-01
2.800000000000000266e-01,3.731389254655792520e-02,4.816901329116358293e-02,7.366761460754513158e-02,6.359003504142007879e-02,-1.120621488980002162e-01,1.044551420229603522e+01,1.063972877510297899e+01,3.779874308292306417e-01
2.899999999999999800e-01,3.708424534530998379e-02,4.843990429178894608e-02,7.385546354511512979e-02,6.334396096187808189e-02,-1.108247313672996032e-01,1.045257340023146497e+01,1.065307987966265202e+01,3.781017063380231469e-01
2.999999999999999889e-01,3.685695405946560338e-02,4.870934432184107626e-02,7.403984305887188755e-02,6.307391018824688722e-02,-1.095871591920737353e-01,1.045985036688355407e+01,1.066660345841716051e+01,3.782165578589175570e-01
3.099999999999999978e-01,3.663208805303116294e-02,4.897727207442281738e-02,7.422078535979641234e-02,6.278074108727865754e-02,-1.083495760148200232e-01,1.046734367969758139e+01,1.068029799218717635e+01,3.783319262876613798e-01
3.200000000000000067e-01,3.640971286988315542e-02,4.924362607290237726e-02,7.439832228379361645e-02,6.246535884028790730e-02,-1.071121213649940118e-01,1.047505193061284601e+01,1.069416197507977984e+01,3.784477498864187162e-01
3.300000000000000155e-01,3.618989028738936464e-02,4.950834472013074944e-02,7.457248521077400327e-02,6.212871405069374242e-02,-1.058749305208791236e-01,1.048297372729021326e+01,1.070819391570972456e+01,3.785639644093671263e-01
3.400000000000000244e-01,3.597267837598138590e-02,4.977136634429542295e-02,7.474330498286720081e-02,6.177180123287245861e-02,-1.046381343803433756e-01,1.049110769424866518e+01,1.072239233832229921e+01,3.786805032372527191e-01
3.500000000000000333e-01,3.575813156342994015e-02,5.003262924116223115e-02,7.491081182215640621e-02,6.139565717698765301e-02,-1.034018593396351660e-01,1.049945247391373471e+01,1.073675578382053786e+01,3.787972975203974801e-01
3.599999999999999867e-01,3.554630070263161551e-02,5.029207171249444608e-02,7.507503524833246400e-02,6.100135918554376591e-02,-1.021662271793925825e-01,1.050800672758106913e+01,1.075128281069975067e+01,3.789142763295994532e-01
3.699999999999999956e-01,3.533723314178562752e-02,5.054963210047933031e-02,7.523600399667340621e-02,6.059002317857271197e-02,-1.009313549570745872e-01,1.051676913629864174e+01,1.076597199589273401e+01,3.790313668143167614e-01
3.800000000000000044e-01,3.513097279591863992e-02,5.080524881803200055e-02,7.539374593676061165e-02,6.016280166559287435e-02,-9.969735490506362319e-02,1.052573840167143437e+01,1.078082193552927137e+01,3.791484943674750530e-01
3.900000000000000133e-01,3.492756021880393663e-02,5.105886037488809037e-02,7.554828799234640513e-02,5.972088158374527778e-02,-9.846433433373924515e-02,1.053491324659252193e+01,1.079583124561362162e+01,3.792655827961883830e-01
4.000000000000000222e-01,3.472703267441648589e-02,5.131040539943686890e-02,7.569965606278976356e-02,5.926548200278787537e-02,-9.723239553887834397e-02,1.054429241590453081e+01,1.081099856262378545e+01,3.793825544976411335e-01
