m,q,time_ratio_q2_over_m,stage_energy_ratio_m2q,L3_or_Gamma_ratio_m,relative_core_ratio_m_minus_half,finite_budget_window
5.000000000000000000e+00,1.532844715739408933e-02,4.699225845140459206e-05,3.832111789348522368e-01,5.000000000000000000e+00,4.472135954999579277e-01,1.000000000000000000e+00
5.000000000000000000e+00,1.559085023611961503e-02,4.861492221702220899e-05,3.897712559029903878e-01,5.000000000000000000e+00,4.472135954999579277e-01,1.000000000000000000e+00
5.000000000000000000e+00,1.585774531426410727e-02,5.029361729041305449e-05,3.964436328566026679e-01,5.000000000000000000e+00,4.472135954999579277e-01,1.000000000000000000e+00
5.000000000000000000e+00,1.612920928901519918e-02,5.203027845777084045e-05,4.032302322253799587e-01,5.000000000000000000e+00,4.472135954999579277e-01,1.000000000000000000e+00
5.000000000000000000e+00,1.640532037394035192e-02,5.382690731432447764e-05,4.101330093485088257e-01,5.000000000000000000e+00,4.472135954999579277e-01,1.000000000000000000e+00
5.000000000000000000e+00,1.668615812152158748e-02,5.568557457128417307e-05,4.171539530380397043e-01,5.000000000000000000e+00,4.472135954999579277e-01,1.000000000000000000e+00
5.000000000000000000e+00,1.697180344607595107e-02,5.760842244244710001e-05,4.242950861518987593e-01,5.000000000000000000e+00,4.472135954999579277e-01,1.000000000000000000e+00
5.000000000000000000e+00,1.726233864706834542e-02,5.959766711321387827e-05,4.315584661767086216e-01,5.000000000000000000e+00,4.472135954999579277e-01,1.000000000000000000e+00
5.000000000000000000e+00,1.755784743282349722e-02,6.165560129486133292e-05,4.389461858205874201e-01,5.000000000000000000e+00,4.472135954999579277e-01,1.000000000000000000e+00
5.000000000000000000e+00,1.785841494464373430e-02,6.378459686701493038e-05,4.464603736160933645e-01,5.000000000000000000e+00,4.472135954999579277e-01,1.000000000000000000e+00
5.000000000000000000e+00,1.816412778133978667e-02,6.598710761136796746e-05,4.541031945334946807e-01,5.000000000000000000e+00,4.472135954999579277e-01,1.000000000000000000e+00
5.000000000000000000e+00,1.847507402418136976e-02,6.826567203979623305e-05,4.618768506045342614e-01,5.000000000000000000e+00,4.472135954999579277e-01,1.000000000000000000e+00
5.000000000000000000e+00,1.879134326227497806e-02,7.062291632012944963e-05,4.697835815568744411e-01,5.000000000000000000e+00,4.472135954999579277e-01,1.000000000000000000e+00
5.000000000000000000e+00,1.911302661837610550e-02,7.306155730295070614e-05,4.778256654594026376e-01,5.000000000000000000e+00,4.472135954999579277e-01,1.000000000000000000e+00
5.000000000000000000e+00,1.944021677514325835e-02,7.558440565291227548e-05,4.860054193785814380e-01,5.000000000000000000e+00,4.472135954999579277e-01,1.000000000000000000e+00
5.000000000000000000e+00,1.977300800184155632e-02,7.819436908817803378e-05,4.943252000460389151e-01,5.000000000000000000e+00,4.472135954999579277e-01,1.000000000000000000e+00
5.000000000000000000e+00,2.011149618150331886e-02,8.089445573172450866e-05,5.027874045375829715e-01,5.000000000000000000e+00,4.472135954999579277e-01,1.000000000000000000e+00
