s,rho,L,cyc0,cyc1,cyc2,cyc3,cov1,cov2,cov3,krms,kmax,dq10,dq25,dq50,dq75,dq90
3.599999999999999867e-01,-6.072782048866913474e-02,1.087680896323930035e+01,3.305602821015416609e-02,4.746467613087276827e-02,3.575892499427258536e-02,2.097331756018574675e-02,5.271351741505395649e-01,4.379251925500396991e-01,3.493963329942093021e-02,2.486581773912579507e+00,1.012254937431067070e+01,4.654909764309041464e-01,8.361566568512521780e-01,1.273880422970621984e+00,1.756298304767544893e+00,2.102885856979353818e+00
3.750000000000000000e-01,-5.916764584568660890e-02,1.090719401078910344e+01,3.193463386022895451e-02,4.695403818269856810e-02,3.519504000882478501e-02,2.042266293374426361e-02,5.278781175167785999e-01,4.370580440223693630e-01,3.506383846085180805e-02,2.504315965283441248e+00,1.048662942432220824e+01,4.661339415130756336e-01,8.390097031082291990e-01,1.271186228985889510e+00,1.756203978080330463e+00,2.101584973443872961e+00
3.900000000000000133e-01,-5.751860345636559263e-02,1.093920681742973677e+01,3.081087201365972569e-02,4.641505808851843773e-02,3.463004080931228468e-02,1.988632387730790083e-02,5.287050842132797746e-01,4.361086646612067907e-01,3.518625112551398981e-02,2.523003275070977214e+00,1.086272884822904849e+01,4.658955874317683432e-01,8.406708609045250302e-01,1.269293739757614947e+00,1.755776016059750644e+00,2.100688450974851573e+00
4.050000000000000266e-01,-5.576000688382205805e-02,1.097304613772212356e+01,2.968307458649955752e-02,4.584754888316855403e-02,3.406006077032405766e-02,1.933810091175479709e-02,5.296238643577582117e-01,4.350706625285401530e-01,3.530547311370162145e-02,2.542596155158878268e+00,1.124080197881644061e+01,4.702253476912643948e-01,8.413824718208120501e-01,1.268616193700529582e+00,1.758187541170845414e+00,2.100878269189172087e+00
4.199999999999999845e-01,-5.387154603895977223e-02,1.100888830377025407e+01,2.854311917108431906e-02,4.525206477667748084e-02,3.348186619475618936e-02,1.874425404473539433e-02,5.306425915795323078e-01,4.339377938027008663e-01,3.541961461776645115e-02,2.562962402313869070e+00,1.160283038543129130e+01,4.716127181261396406e-01,8.439054237890697419e-01,1.268267670609715569e+00,1.762937596661491524e+00,2.104076638449169590e+00
4.349999999999999978e-01,-5.183502023537846920e-02,1.104684541967814049e+01,2.737981873905750291e-02,4.463022938344055751e-02,3.289385835617233966e-02,1.806113925018329111e-02,5.317691961356307839e-01,4.327047242662601101e-01,3.552607959810891169e-02,2.583838638171456203e+00,1.191831896013745506e+01,4.709384252597326737e-01,8.443513810764196048e-01,1.266010278072138728e+00,1.764297394308953937e+00,2.104599633247140389e+00
4.500000000000000111e-01,-4.963683807272012416e-02,1.108690159173810130e+01,2.618541203904423825e-02,4.398521474271588350e-02,3.229771146044072699e-02,1.723293899813123364e-02,5.330104138638397382e-01,4.313682262640708975e-01,3.562135987208949611e-02,2.604782024322559231e+00,1.213954815799552911e+01,4.704371155604452626e-01,8.433222548383538797e-01,1.264848731636752266e+00,1.760676077314028642e+00,2.105574549132027684e+00
4.650000000000000244e-01,-4.727108918735308668e-02,1.112881764340952273e+01,2.495909320357997743e-02,4.332244154063001618e-02,3.170084629613657140e-02,1.619540117103757462e-02,5.343701894002189645e-01,4.299286853012246334e-01,3.570112529855649225e-02,2.625153786489582863e+00,1.220133062421428960e+01,4.677938516967899973e-01,8.446740221049042763e-01,1.261946938575379651e+00,1.761120137330982605e+00,2.106924106620333248e+00
4.799999999999999822e-01,-4.474170462937632209e-02,1.117202389463608903e+01,2.369585992716104900e-02,4.265026233371185110e-02,3.111881284272643641e-02,1.489748190598306522e-02,5.358475681298511262e-01,4.283912054012803394e-01,3.576122646886919360e-02,2.644218965879096217e+00,1.203493038679295957e+01,4.672051874919511127e-01,8.463123650973550793e-01,1.259918851526168337e+00,1.761002680882334026e+00,2.105191350210433576e+00
4.949999999999999956e-01,-4.206577140013292165e-02,1.121562297084072490e+01,2.236199393677218775e-02,4.197961321226817422e-02,3.057411822216291042e-02,1.334594525905383189e-02,5.374348684706728996e-01,4.267649299684638242e-01,3.580020156086343580e-02,2.661423882715887146e+00,1.159955035491493014e+01,4.665600718316925688e-01,8.493367722341609305e-01,1.257299498920958492e+00,1.758785120588840067e+00,2.102314571171242985e+00
5.100000000000000089e-01,-3.928448950981681953e-02,1.125870711927504608e+01,2.089202936202081556e-02,4.132130382761371040e-02,3.008759818723481458e-02,1.164206069806246469e-02,5.391177091387664433e-01,4.250598302383736815e-01,3.582246062285928540e-02,2.676701237556740942e+00,1.126523078898468100e+01,4.677973314227503177e-01,8.518792895339042381e-01,1.256131520047821581e+00,1.759550198754141759e+00,2.103756322693898007e+00
5.250000000000000222e-01,-3.646882000868203327e-02,1.130096760941389000e+01,1.923068381817015851e-02,4.068153267397120465e-02,2.966550486201704334e-02,9.963074990884120130e-03,5.408784271217879080e-01,4.232825437916539757e-01,3.583902908655801217e-02,2.690556400992520913e+00,1.124558779342004300e+01,4.675113456241692389e-01,8.524263799489855131e-01,1.253172704877850041e+00,1.759756537254023590e+00,2.106083305987255017e+00
5.400000000000000355e-01,-3.369396166426282674e-02,1.134310643002965335e+01,1.737560336762464935e-02,4.005931257129793227e-02,2.929455081288652799e-02,8.504539536593049703e-03,5.427028950435830446e-01,4.214335887956969784e-01,3.586351616071976889e-02,2.703951127459300885e+00,1.114681622466634892e+01,4.687910181779575414e-01,8.518605559365985957e-01,1.256061868428200334e+00,1.758935754212295421e+00,2.107031873566358016e+00
5.550000000000000488e-01,-3.097166176721561845e-02,1.138662367635789252e+01,1.537665235043622278e-02,3.944871777729098972e-02,2.895216756939260339e-02,7.429871469231560076e-03,5.445878175680149980e-01,4.195064580039395419e-01,3.590572442804569608e-02,2.718048724708700181e+00,1.096180325828252577e+01,4.621551528875939008e-01,8.461082213463380075e-01,1.258736654778519259e+00,1.755643790562784190e+00,2.106359051349505851e+00
5.700000000000000622e-01,-2.812500956814291062e-02,1.143329209353795051e+01,1.330389623299822743e-02,3.884265219171215144e-02,2.861954850219450286e-02,6.809788958983252830e-03,5.465458025540873566e-01,4.174867642258442424e-01,3.596743322006826921e-02,2.733825668216788074e+00,1.068865226313282157e+01,4.672801700546557746e-01,8.495784971031941080e-01,1.257737101944995217e+00,1.759546649156331410e+00,2.104961619336370937e+00
5.849999999999999645e-01,-2.477006761953957220e-02,1.148490888252856656e+01,1.121599432717210014e-02,3.823180343163289779e-02,2.827791437865479970e-02,6.558083204131401160e-03,5.486101067479556281e-01,4.153477165284782946e-01,3.604217672356612584e-02,2.751869642752593492e+00,1.119602002932131413e+01,4.710193976249235637e-01,8.511509446085411268e-01,1.257317406793428072e+00,1.756665142185716899e+00,2.105235428099392347e+00
5.999999999999999778e-01,-2.069979652787098598e-02,1.154316489091615061e+01,9.167262851841094864e-03,3.760256192014069243e-02,2.790121453978841592e-02,6.454630160197504830e-03,5.508351521996828204e-01,4.130462625977046054e-01,3.611858520261208155e-02,2.772207778227428143e+00,1.189468695449281554e+01,4.750510163547833620e-01,8.552111304602865172e-01,1.254783868711268013e+00,1.756711469637513900e+00,2.105926202305656858e+00
6.149999999999999911e-01,-1.644232901663474425e-02,1.160822610058999160e+01,7.193731336893063009e-03,3.694776271718129557e-02,2.749381712331519859e-02,6.293092890505651120e-03,5.532778166242343643e-01,4.105358294360074156e-01,3.618635393975855319e-02,2.793263924950649013e+00,1.238091929195526042e+01,4.708717215966306546e-01,8.534863999395805312e-01,1.251092884936452432e+00,1.755960637862944873e+00,2.108943662744630743e+00
6.300000000000000044e-01,-1.253039060334200025e-02,1.167622315463580840e+01,5.139058151522480494e-03,3.627492410814693591e-02,2.713450007358638588e-02,6.104217331802270878e-03,5.559557385402833507e-01,4.078011252447161228e-01,3.624313621500066529e-02,2.812209241990237807e+00,1.251621279903126549e+01,4.640068196290034197e-01,8.503087068063205356e-01,1.249488940810891791e+00,1.757007768699476724e+00,2.109990099008122399e+00
6.450000000000000178e-01,-8.413273151669961938e-03,1.174427922725106654e+01,2.667448355732795866e-03,3.556170595852977540e-02,2.682757928928690763e-02,5.940132338753141734e-03,5.588221888618978284e-01,4.048859531762276642e-01,3.629185796187472945e-02,2.827917009806803161e+00,1.225477990385352989e+01,4.571597426928550867e-01,8.527697099434899952e-01,1.250958269855496408e+00,1.754517610424238150e+00,2.108291288505767636e+00
6.600000000000000311e-01,-3.600123495181849296e-03,1.181556375563065231e+01,-3.491844504510126408e-04,3.475861379399646650e-02,2.643520846244348452e-02,5.729473066066688262e-03,5.617972826964712230e-01,4.018728637331994702e-01,3.632985357032937623e-02,2.840453713102563782e+00,1.141957448092030525e+01,4.595105898698543800e-01,8.544746931383735422e-01,1.249498747584816050e+00,1.756530830536941146e+00,2.106461971086802443e+00
6.750000000000000444e-01,8.855977846397939052e-04,1.188962472444111462e+01,-3.270539203980894934e-03,3.386338685055884090e-02,2.594857654087818349e-02,6.137198442183977760e-03,5.648293208511687702e-01,3.988126634982691043e-01,3.635801565056262508e-02,2.851280986179851595e+00,1.062155659937772789e+01,4.625358638372114584e-01,8.509979870611450448e-01,1.248785971942274697e+00,1.754014911788669639e+00,2.106007149786950805e+00
6.900000000000000577e-01,4.687779672511822697e-03,1.195601025389854222e+01,-5.470059290970702599e-03,3.290188320844401187e-02,2.565209019931550746e-02,7.959434338935696823e-03,5.679244278366670784e-01,3.956706629816767462e-01,3.640490918165591866e-02,2.862796364189154286e+00,1.118423712224438837e+01,4.656569303803794746e-01,8.502546864050398723e-01,1.248706844047668518e+00,1.756319466645843264e+00,2.109365104818235803e+00
7.049999999999999600e-01,1.234465331664749005e-02,1.202203399991473098e+01,-7.581610071749029373e-03,3.175528898626608226e-02,2.552415862570610663e-02,1.048771775407703923e-02,5.712748323374776671e-01,3.922399882686687378e-01,3.648517939385326203e-02,2.878504445329674422e+00,1.177330487154609528e+01,4.684392912766561223e-01,8.500025789060547954e-01,1.247451243926662290e+00,1.755042506648080147e+00,2.109916617049882426e+00
7.199999999999999734e-01,2.678501915455315865e-02,1.210850376411595875e+01,-1.059423020703736257e-02,3.013264948083767963e-02,2.529332454922348511e-02,1.343460338459404914e-02,5.752800108988616046e-01,3.881553341662303258e-01,3.656465493490845819e-02,2.903985674621691437e+00,1.229728198455519461e+01,4.722318437190290430e-01,8.459655424423901948e-01,1.247246679177184792e+00,1.750686659326033956e+00,2.109592166108007039e+00
7.349999999999999867e-01,3.085233207441574060e-02,1.221869329352353262e+01,-1.363091580022015616e-02,2.755510838112029681e-02,2.510847478948329339e-02,1.653552431112807058e-02,5.800977983793480508e-01,3.832792319541307169e-01,3.662296966652153762e-02,2.928787175864366876e+00,1.256962286500526282e+01,4.766760904849715597e-01,8.443634017065260178e-01,1.242211768482562428e+00,1.752753114613841312e+00,2.114244843732014267e+00
7.500000000000000000e-01,2.585866727012568408e-02,1.232034012079153129e+01,-1.497242477541911761e-02,2.388886798774396761e-02,2.524709034732939422e-02,2.069025659628263500e-02,5.848008976122367475e-01,3.784886024445728858e-01,3.671049994318988097e-02,2.940743290099991913e+00,1.250021462932785177e+01,4.794245684438809829e-01,8.451631167877535766e-01,1.240242703942976643e+00,1.748157695144259449e+00,2.114261600112319339e+00
7.650000000000000133e-01,3.444319755671328837e-02,1.243783538460699489e+01,-1.743277094161723231e-02,2.033226215365792344e-02,2.437733460103899685e-02,2.546620390549213242e-02,5.885961623610194149e-01,3.746110971025288228e-01,3.679274053645179704e-02,2.944495939600423551e+00,1.244016610508042042e+01,4.786641875774209631e-01,8.454093959668144143e-01,1.244831475995717085e+00,1.749091924358106898e+00,2.113642048911592131e+00
7.800000000000000266e-01,3.540397722368509442e-02,1.254155776764402397e+01,-1.993973629487398244e-02,1.603311475083746621e-02,2.382219307793575352e-02,3.381670329713012957e-02,5.923624421717277322e-01,3.707618620744032589e-01,3.687569575386966808e-02,2.950638842062419442e+00,1.204293273791989449e+01,4.805289518863660181e-01,8.437088334724449634e-01,1.251879893863477422e+00,1.751829609837629809e+00,2.116776686863858448e+00
7.950000000000000400e-01,6.478571768612301218e-02,1.263579196960861672e+01,-2.009114625914411312e-02,9.929040779293189095e-03,2.383455923875634277e-02,4.065884285401046710e-02,5.971865871950088334e-01,3.658243483461689483e-01,3.698906445882235716e-02,2.960905653607695864e+00,1.087258876426648690e+01,4.832808609644345665e-01,8.355139424935627002e-01,1.246658036638410127e+00,1.751792752321010616e+00,2.121998839515340851e+00
8.100000000000000533e-01,7.598380329395534871e-02,1.281796296701021731e+01,-2.367233450954016674e-02,2.256421892345956883e-03,2.252881287218596457e-02,4.515915188292147359e-02,6.039418725885098427e-01,3.589373359901532612e-01,3.712079142133729165e-02,2.983960989945024345e+00,1.074288175576087312e+01,4.837063298078078111e-01,8.317859175028242680e-01,1.246382532214233674e+00,1.751319693960860846e+00,2.120944433466602330e+00
8.250000000000000666e-01,4.720875973410506438e-02,1.290930393456327074e+01,-2.517820386118076181e-02,-5.326267107552716713e-03,2.343381268977549545e-02,5.628205506453552026e-02,6.095392426942712882e-01,3.531325474847193391e-01,3.732820982100934493e-02,2.995767401789787066e+00,1.032085033935182139e+01,4.848038292838084962e-01,8.346014513362955967e-01,1.249648556137752609e+00,1.747664996477354959e+00,2.116358415341350163e+00
8.399999999999999689e-01,5.285677228432970887e-02,1.309268005718049643e+01,-2.795406403929946021e-02,-8.500510395192478752e-03,2.124682006806198620e-02,6.168051368489300967e-02,6.131287066743651426e-01,3.492778786999568008e-01,3.759341462567759168e-02,3.001618682987369446e+00,9.444680189328995112e+00,4.846366890846267594e-01,8.330309519894671944e-01,1.241310003806200823e+00,1.747498283754420845e+00,2.121892339179492382e+00
8.549999999999999822e-01,4.158404775388603591e-02,1.319845747027574667e+01,-2.986455465469079265e-02,-1.155288821794711249e-02,2.133022294991296017e-02,6.358933302974656421e-02,6.174124094319708433e-01,3.447171328510593713e-01,3.787045771697004209e-02,3.013922387890171528e+00,1.004743446145673857e+01,4.837341337912990924e-01,8.343114795758937996e-01,1.245340806148430346e+00,1.744374940360246207e+00,2.122840637136501396e+00
8.699999999999999956e-01,7.575948784685164472e-02,1.338250353906893686e+01,-3.062449298242465867e-02,-1.062202034084094686e-02,2.023927824344875712e-02,5.587000323707602689e-02,6.221576668131445498e-01,3.396260332775546953e-01,3.821629990930111576e-02,3.035090677591734121e+00,1.074913630715078483e+01,4.779095562878564740e-01,8.294893965344748432e-01,1.242085976449274654e+00,1.748206192816592841e+00,2.123330744576346074e+00
8.850000000000000089e-01,4.428167218498536839e-02,1.356173216090409639e+01,-3.338620551722934482e-02,3.814942562388463215e-02,2.226552204299761181e-02,4.982897931939851005e-02,6.324351473528011525e-01,3.290790212713280427e-01,3.848583137587028441e-02,3.065148984762592121e+00,1.015049849435449225e+01,4.660809679857009225e-01,8.257746522172531023e-01,1.240684619195795424e+00,1.748577185737833606e+00,2.119939538660511769e+00
9.000000000000000222e-01,8.128487728334872486e-02,1.374430649657697323e+01,-3.307232506159074603e-02,3.562744447817129539e-02,1.992818079238044965e-02,4.490066295927950396e-02,6.336801999343544267e-01,3.273914602247404715e-01,3.892833984090508792e-02,3.053343132843919339e+00,9.554157401257162618e+00,4.721558991541034978e-01,8.154795202390441311e-01,1.237789932187921327e+00,1.748593339272137559e+00,2.125121375043883543e+00
