Re_parent,tau_parent,h_over_delta,jump_over_parent_omega,Re_layer,Re_layer_over_sqrtRe,recovered_DeltaGamma_over_Gamma
3.981071705534977373e+05,2.511886431509577191e-06,1.584893192461112564e-03,1.118342774981037337e+03,1.118342774981037337e+03,1.772453850905515660e+00,9.999999999999998890e-01
5.011872336272724788e+05,1.995262314968878707e-06,1.412537544622753964e-03,1.254801231763991609e+03,1.254801231763991382e+03,1.772453850905515660e+00,1.000000000000000000e+00
6.309573444801942678e+05,1.584893192461110904e-06,1.258925411794166189e-03,1.407910138520034252e+03,1.407910138520034252e+03,1.772453850905515660e+00,1.000000000000000000e+00
7.943282347242821706e+05,1.258925411794166114e-06,1.122018454301963036e-03,1.579701157418311595e+03,1.579701157418311823e+03,1.772453850905516104e+00,9.999999999999998890e-01
1.000000000000000000e+06,9.999999999999999547e-07,1.000000000000000021e-03,1.772453850905515992e+03,1.772453850905515765e+03,1.772453850905515660e+00,9.999999999999997780e-01
1.258925411794168642e+06,7.943282347242806075e-07,8.912509381337450649e-04,1.988725930114570701e+03,1.988725930114570929e+03,1.772453850905515882e+00,9.999999999999997780e-01
1.584893192461114144e+06,6.309573444801929638e-07,7.943282347242813140e-04,2.231387194137384540e+03,2.231387194137384540e+03,1.772453850905515882e+00,1.000000000000000000e+00
1.995262314968882827e+06,5.011872336272714383e-07,7.079457843841373667e-04,2.503657610515224860e+03,2.503657610515225315e+03,1.772453850905516326e+00,9.999999999999998890e-01
2.511886431509582326e+06,3.981071705534969225e-07,6.309573444801929842e-04,2.809150042251638752e+03,2.809150042251638752e+03,1.772453850905515882e+00,9.999999999999997780e-01
3.162277660168379080e+06,3.162277660168379721e-07,5.623413251903490971e-04,3.151918188309477955e+03,3.151918188309477955e+03,1.772453850905516104e+00,1.000000000000000000e+00
3.981071705534977373e+06,2.511886431509576979e-07,5.011872336272719854e-04,3.536510373733246979e+03,3.536510373733246979e+03,1.772453850905515660e+00,9.999999999999998890e-01
5.011872336272724904e+06,1.995262314968878707e-07,4.466835921509629942e-04,3.968029903159035712e+03,3.968029903159034802e+03,1.772453850905515660e+00,1.000000000000000000e+00
6.309573444801942445e+06,1.584893192461110904e-07,3.981071705534969187e-04,4.452202778566474080e+03,4.452202778566473171e+03,1.772453850905515882e+00,1.000000000000000222e+00
7.943282347242821008e+06,1.258925411794166167e-07,3.548133892335753221e-04,4.995453679846059458e+03,4.995453679846058549e+03,1.772453850905515882e+00,9.999999999999998890e-01
1.000000000000000000e+07,9.999999999999999547e-08,3.162277660168379394e-04,5.604991216397928838e+03,5.604991216397928838e+03,1.772453850905515882e+00,1.000000000000000000e+00
1.258925411794168688e+07,7.943282347242806075e-08,2.818382931264452299e-04,6.288903580998889083e+03,6.288903580998889083e+03,1.772453850905515882e+00,9.999999999999998890e-01
1.584893192461114191e+07,6.309573444801929638e-08,2.511886431509579545e-04,7.056265875206453529e+03,7.056265875206453529e+03,1.772453850905515882e+00,1.000000000000000000e+00
