s,rho,cyc0,cyc1,cyc2,cyc3,alpha_max,alpha_p95,sigma_local,sigma_near2,sigma_near4,dist_active_to_alphamax,reach,curv_radius,half_nonlocal_sep,L,spacing,reach_controller,active_i,active_j,alpha_max_i,dlnreach_ds,gamma_hat,A_local,A_near2,A_near4,A_p95,A_max,y_core_over_reach_sq,Re_required_local,gate_Re100,gate_Re1000,gate_Re4000,gate_Re10000
4.874999999999999889e-01,-3.297815305681894675e-03,1.945793339688496604e-01,6.821826782104227320e-03,1.091322474536841336e-01,-4.561278112949888365e-03,9.177452007185759042e-01,6.645678755011990013e-01,-2.120966999895474922e-02,6.277712242020753175e-01,6.277712242020753175e-01,1.462858579961720862e+00,1.626923400412442211e-01,1.626923400412442211e-01,1.642135095969277647e-01,1.092772328308516627e+01,3.414913525964114599e-02,0.000000000000000000e+00,1.380000000000000000e+02,1.380000000000000000e+02,8.000000000000000000e+00,1.346303532817074711e-01,-1.313325379760255651e-01,6.391034247407586903e-03,2.356877812263762084e-02,2.356877812263762084e-02,2.454274123485013573e-02,3.124404058967021267e-02,6.044853376926619115e-02,1.035387876337560374e+04,3.863286495249542568e-02,3.863286495249542707e-01,1.545314598099817083e+00,3.863286495249542707e+00
4.949999999999999956e-01,-2.980188907575509472e-03,1.946593596530896142e-01,6.262891662187993272e-03,1.092064000029532855e-01,-5.085555113056282502e-03,9.178652592263941701e-01,6.582371564731843705e-01,-1.971979133391239120e-02,6.248323351109721369e-01,6.248323351109721369e-01,1.461916747191409183e+00,1.628809757159782046e-01,1.628809757159782046e-01,1.639723114252320257e-01,1.093124961240371995e+01,3.416015503876162346e-02,0.000000000000000000e+00,1.380000000000000000e+02,1.380000000000000000e+02,8.000000000000000000e+00,1.739496124676520594e-01,-1.709694235600765500e-01,8.548539941064482381e-03,2.564864466195797971e-02,2.564864466195797971e-02,2.653488166287711753e-02,3.342287033503367477e-02,6.030860156381134818e-02,7.758696933363535209e+03,5.155504892579852033e-02,5.155504892579853005e-01,2.062201957031941202e+00,5.155504892579851450e+00
5.025000000000000577e-01,-2.658828717388606218e-03,1.947283700536012185e-01,5.696709557516024119e-03,1.092795333121664714e-01,-5.605369188168315801e-03,9.179925941527364852e-01,6.582569003032358035e-01,-1.815488696355683357e-02,6.213849756396143675e-01,6.213849756396143675e-01,1.461020141886882673e+00,1.631173983831172292e-01,1.631173983831172292e-01,1.637372757124302969e-01,1.093474513223032574e+01,3.417107853821976793e-02,0.000000000000000000e+00,1.380000000000000000e+02,1.380000000000000000e+02,8.000000000000000000e+00,2.123909841338900151e-01,-2.097321554165014201e-01,1.067775447704881649e-02,2.769417428926772978e-02,2.769417428926772978e-02,2.867523612145253878e-02,3.558609792257766413e-02,6.013390545467755394e-02,6.229607009710543025e+03,6.420950781911136107e-02,6.420950781911135552e-01,2.568380312764454221e+00,6.420950781911134442e+00
5.100000000000000089e-01,-2.333705376040196098e-03,1.947870616243520259e-01,5.123391702116820989e-03,1.093513158666403889e-01,-6.120771068492190763e-03,9.181267863923270323e-01,6.612538060787813698e-01,-1.652390856698082722e-02,6.174415655715956852e-01,6.174415655715956852e-01,1.460167822255791670e+00,1.634007199547355682e-01,1.634007199547355682e-01,1.634991582638727625e-01,1.093820792700816114e+01,3.418189977190050355e-02,0.000000000000000000e+00,1.380000000000000000e+02,1.380000000000000000e+02,8.000000000000000000e+00,5.046736284339203849e-02,-4.813365746735184109e-02,2.129132625085679124e-03,1.905588100026797682e-02,1.905588100026797682e-02,2.022565885264357433e-02,2.708411484042206122e-02,5.992555310321365236e-02,3.135055440786771942e+04,1.275894501883565423e-02,1.275894501883565457e-01,5.103578007534261829e-01,1.275894501883565457e+00
5.174999999999999600e-01,-2.004787143526809423e-03,1.948361161429202071e-01,4.543067850763572030e-03,1.094214258757610220e-01,-6.631815768261251597e-03,9.182666646834154456e-01,6.594521597589210193e-01,3.667515910929738387e-01,9.182666646834154456e-01,9.182666646834154456e-01,2.385441986017669824e-01,1.632409267072878478e-01,1.637300478577229934e-01,1.632409267072878478e-01,1.094163608839835611e+01,3.419261277624486423e-02,1.000000000000000000e+00,1.000000000000000000e+00,2.710000000000000000e+02,8.000000000000000000e+00,-1.669935428625990426e-01,1.689983300061258520e-01,7.662499058447079341e-04,1.546280306482380323e-02,1.546280306482380323e-02,8.566017623992269736e-03,1.546280306482380323e-02,6.004293035238506687e-02,8.694160987490764819e+04,4.600788972915541286e-03,4.600788972915541980e-02,1.840315589166216792e-01,4.600788972915541564e-01
5.250000000000000222e-01,-1.672039795820756680e-03,1.948761976770668758e-01,3.955887199964319353e-03,1.094895384248040643e-01,-7.138561933552747124e-03,9.184103290278315956e-01,6.550791517371734596e-01,3.542351277991300229e-01,9.184103290278315956e-01,9.184103290278315956e-01,2.386129461353806158e-01,1.629919291821557981e-01,1.641044816202527068e-01,1.629919291821557981e-01,1.094502771744011227e+01,3.420321161700035084e-02,1.000000000000000000e+00,1.000000000000000000e+00,2.710000000000000000e+02,8.000000000000000000e+00,-1.998506502108625682e-01,2.015226900066833249e-01,-1.296711170258076388e-03,1.369137539411488177e-02,1.369137539411488177e-02,6.695622174662956873e-03,1.369137539411488177e-02,6.022652178374891807e-02,inf,-7.809640354277858423e-03,-7.809640354277859464e-02,-3.123856141711143786e-01,-7.809640354277859187e-01
5.324999999999999734e-01,-1.335426537496908761e-03,1.949079500781412677e-01,3.362018890814834696e-03,1.095553149303981066e-01,-7.641071161334344469e-03,9.185552234919726056e-01,6.506584849949268445e-01,3.415535288477503095e-01,9.185552234919726056e-01,9.185552234919726056e-01,2.386812307856943649e-01,1.627523023822248227e-01,1.641092754305378543e-01,1.627523023822248227e-01,1.094838092677280983e+01,3.421369039616502933e-02,1.000000000000000000e+00,1.000000000000000000e+00,2.710000000000000000e+02,8.000000000000000000e+00,-1.924205165414321073e-01,1.937559430789290160e-01,-1.217359304253396021e-03,1.406644156803401463e-02,1.406644156803401463e-02,6.970309193503041768e-03,1.406644156803401463e-02,6.040400023169020111e-02,inf,-7.353337169617235776e-03,-7.353337169617235602e-02,-2.941334867846894241e-01,-7.353337169617235602e-01
5.400000000000000355e-01,-9.949079300171526519e-04,1.949319950258262824e-01,2.761652034450904659e-03,1.096183962857392169e-01,-8.139407284666798359e-03,9.186982493985667020e-01,6.462012916017256803e-01,3.287093788388336657e-01,9.186982493985667020e-01,9.186982493985667020e-01,2.387490123003747633e-01,1.625221625856861640e-01,1.639744346878596049e-01,1.625221625856861640e-01,1.095169384291374648e+01,3.422404325910545497e-02,1.000000000000000000e+00,1.000000000000000000e+00,2.710000000000000000e+02,8.000000000000000000e+00,-1.848706660949801517e-01,1.858655740249973154e-01,-1.136353493298777363e-03,1.444729000535176743e-02,1.444729000535176743e-02,7.249704327601495454e-03,1.444729000535176743e-02,6.057519173724144890e-02,inf,-6.883483073785755420e-03,-6.883483073785755246e-02,-2.753393229514302099e-01,-6.883483073785755524e-01
5.474999999999999867e-01,-6.504418355659403062e-04,1.949489306268157029e-01,2.154995395899533470e-03,1.096784003576506822e-01,-8.633635618322178795e-03,9.188359054681231042e-01,6.417184993267349702e-01,3.157051193255126509e-01,9.188359054681231042e-01,9.188359054681231042e-01,2.388162487703215930e-01,1.623016056772930427e-01,1.638889986158466594e-01,1.623016056772930427e-01,1.095496460858419674e+01,3.423426440182561481e-02,1.000000000000000000e+00,1.000000000000000000e+00,2.710000000000000000e+02,8.000000000000000000e+00,-1.772185267168282508e-01,1.778689685523942021e-01,-1.054536927962964081e-03,1.483302037278676211e-02,1.483302037278676211e-02,7.533245978472534812e-03,1.483302037278676211e-02,6.073993878106349886e-02,inf,-6.405250844684120745e-03,-6.405250844684121092e-02,-2.562100337873648437e-01,-6.405250844684120537e-01
5.550000000000000488e-01,-3.019833762799240201e-04,1.949593305506495400e-01,1.542276997079715427e-03,1.097349237040742692e-01,-9.123822158441098965e-03,9.189644394364123725e-01,6.372207116053725251e-01,3.025430205880649814e-01,9.189644394364123725e-01,9.189644394364123725e-01,2.388828962072578332e-01,1.620907072306909669e-01,1.638517802120097733e-01,1.620907072306909669e-01,1.095819138507558499e+01,3.424434807836120032e-02,1.000000000000000000e+00,1.000000000000000000e+00,2.710000000000000000e+02,8.000000000000000000e+00,-1.694815933443578615e-01,1.697835767206377910e-01,-9.727497547522733412e-04,1.522273513036587027e-02,1.522273513036587027e-02,7.820370212402118562e-03,1.522273513036587027e-02,6.089810074557463343e-02,inf,-5.923861256513695585e-03,-5.923861256513696105e-02,-2.369544502605478442e-01,-5.923861256513694995e-01
