s,logR_cumulative
6.850000000000000533e+00,4.822512525448954257e-01
6.900000000000000355e+00,4.873235973410967037e-01
6.950000000000000178e+00,4.933909741627994228e-01
7.000000000000000000e+00,4.995481066691082606e-01
7.049999999999999822e+00,5.052324336476604616e-01
7.100000000000000533e+00,5.111675771795394230e-01
7.150000000000000355e+00,5.171464082459059641e-01
7.200000000000000178e+00,5.222998321321984383e-01
7.250000000000000000e+00,5.262438925777700449e-01
7.299999999999999822e+00,5.304158930167628405e-01
7.350000000000000533e+00,5.357901184963268504e-01
7.400000000000000355e+00,5.419212497232844816e-01
7.450000000000000178e+00,5.486386743672094779e-01
7.500000000000000000e+00,5.560463401219390978e-01
7.549999999999999822e+00,5.633263343178015470e-01
7.600000000000000533e+00,5.705356727851804699e-01
7.650000000000000355e+00,5.773819950614169638e-01
7.700000000000000178e+00,5.835132486889315073e-01
7.750000000000000000e+00,5.894669190775926326e-01
7.799999999999999822e+00,5.957205977935878805e-01
7.850000000000000533e+00,6.025450301187265101e-01
7.900000000000000355e+00,6.100962171992231342e-01
7.950000000000000178e+00,6.193356452598615114e-01
8.000000000000000000e+00,6.300955578545635039e-01
8.050000000000000711e+00,6.408375857040415902e-01
8.099999999999999645e+00,6.507494868703076474e-01
8.150000000000000355e+00,6.602325510587141455e-01
8.199999999999999289e+00,6.701124706366485828e-01
8.250000000000000000e+00,6.801585333353145080e-01
8.300000000000000711e+00,6.899220255136400137e-01
8.349999999999999645e+00,6.994274702035734315e-01
8.400000000000000355e+00,7.086241193465870891e-01
8.449999999999999289e+00,7.174340258194276121e-01
8.500000000000000000e+00,7.259120981627968927e-01
8.550000000000000711e+00,7.342683158417803169e-01
8.599999999999999645e+00,7.425987751526337277e-01
8.650000000000000355e+00,7.508360133219849075e-01
8.700000000000001066e+00,7.590039434319727496e-01
8.750000000000000000e+00,7.674757020773269600e-01
8.800000000000000711e+00,7.765594594475844215e-01
8.849999999999999645e+00,7.861314426264085498e-01
8.900000000000000355e+00,7.961107003074594513e-01
8.950000000000001066e+00,8.061069283349080461e-01
9.000000000000000000e+00,8.156811583539670396e-01
9.050000000000000711e+00,8.245352720947115577e-01
9.099999999999999645e+00,8.324839715354775960e-01
9.150000000000000355e+00,8.405823266788675641e-01
9.200000000000001066e+00,8.496187738278326851e-01
9.250000000000000000e+00,8.582244714203509650e-01
9.300000000000000711e+00,8.669876577449039390e-01
9.349999999999999645e+00,8.758914929565523311e-01
9.400000000000000355e+00,8.840722702825838386e-01
9.450000000000001066e+00,8.924745216241669610e-01
9.500000000000000000e+00,9.010617040590209736e-01
9.550000000000000711e+00,9.097463268734262698e-01
9.599999999999999645e+00,9.184559789312735090e-01
9.650000000000000355e+00,9.273158053779497756e-01
9.700000000000001066e+00,9.366360963196310729e-01
9.750000000000000000e+00,9.461507727139041313e-01
9.800000000000000711e+00,9.548481024693815655e-01
9.849999999999999645e+00,9.621825434859655468e-01
9.900000000000000355e+00,9.684918822825983042e-01
9.950000000000001066e+00,9.743700115734724720e-01
1.000000000000000000e+01,9.803714490916551894e-01
1.005000000000000071e+01,9.871954788759069732e-01
1.009999999999999964e+01,9.951148232072546396e-01
1.015000000000000036e+01,1.003709065206190854e+00
1.020000000000000107e+01,1.012825006034000275e+00
1.025000000000000000e+01,1.022511755980116011e+00
1.030000000000000071e+01,1.032417354003215326e+00
1.034999999999999964e+01,1.041914902220178574e+00
1.040000000000000036e+01,1.050503511880670482e+00
1.045000000000000107e+01,1.058321126148584979e+00
1.050000000000000000e+01,1.066240681140074864e+00
1.055000000000000071e+01,1.074968637284059891e+00
1.059999999999999964e+01,1.083720575685468868e+00
1.065000000000000036e+01,1.092270821478124265e+00
1.070000000000000107e+01,1.101400504155948479e+00
1.075000000000000000e+01,1.110855384284590075e+00
1.080000000000000071e+01,1.120181901672334446e+00
1.084999999999999964e+01,1.129110188761638156e+00
1.090000000000000036e+01,1.137714003949705122e+00
1.095000000000000107e+01,1.146730137641097658e+00
1.100000000000000000e+01,1.156793374823824161e+00
1.105000000000000071e+01,1.166696980947501405e+00
1.109999999999999964e+01,1.174511686270143018e+00
1.115000000000000036e+01,1.183632898442688264e+00
1.120000000000000107e+01,1.194743198193984668e+00
