t,cyc0,cyc1,cyc2,cyc3,total0,total1,total2,total3,rg2,rg2dot,length,b0,b1,b2,b3,a0_over_Rg,a1_over_Rg,a2_over_Rg,a3_over_Rg
1.669999999999999929e+00,2.748448096958870310e-02,4.911290456140596922e-02,7.336690539957325952e-02,6.611408919639723270e-02,3.393334651756759746e-01,2.308313230468402033e-01,7.204094123202407773e-02,4.087227257664755586e-01,9.379841822839518617e-01,7.696483692794929554e-02,1.325221309332780351e+01,2.127963947440496967e-02,2.806772251884183736e-02,2.585789832857352671e-02,2.014473043222964055e-02,1.506206007737870001e-01,1.729839579910587288e-01,1.660346971720631504e-01,1.465490382836830419e-01
1.672500000000000098e+00,2.750607392260257314e-02,4.904772471770270370e-02,7.333299010148913721e-02,6.599336558347397574e-02,3.398048556209929405e-01,2.315626694860730139e-01,7.199511456590738934e-02,4.089596319974264649e-01,9.381771103230633901e-01,7.737766547909989689e-02,1.326096520138568202e+01,2.127157812946871285e-02,2.806150138521800938e-02,2.586324226113698860e-02,2.013414584741225755e-02,1.505765835673519015e-01,1.729470009456374469e-01,1.660347786539271842e-01,1.464954677270797478e-01
1.675000000000000044e+00,2.752801712967727424e-02,4.898265768056388192e-02,7.329901245992119507e-02,6.587120046196989764e-02,3.402778510461118011e-01,2.322944746109740777e-01,7.194941224852866024e-02,4.091950711853675759e-01,9.383710709673380723e-01,7.779092122104939999e-02,1.326973444941521052e+01,2.126349852979953284e-02,2.805523254408355538e-02,2.586858819073316676e-02,2.012356019699248350e-02,1.505324241567097543e-01,1.729098090503579377e-01,1.660347751567976260e-01,1.464418151624904130e-01
1.677499999999999991e+00,2.755031203001835280e-02,4.891771110012854001e-02,7.326497253573963087e-02,6.574760359764492135e-02,3.407524548257997443e-01,2.330267361841100171e-01,7.190383617264885230e-02,4.094290493056056413e-01,9.385660652859968422e-01,7.820460515892173337e-02,1.327852087591348251e+01,2.125540062462028326e-02,2.804891601393606076e-02,2.587393611012289013e-02,2.011297356815215306e-02,1.504881223772275567e-01,1.728723823757045697e-01,1.660346866155639478e-01,1.463880809495186064e-01
1.679999999999999938e+00,2.757296003671718884e-02,4.885289273166854018e-02,7.323087038080902667e-02,6.562258488051896099e-02,3.412286701866398264e-01,2.337594519142809635e-01,7.185838824910195655e-02,4.096615725383827566e-01,9.387620943508476756e-01,7.861871835664671626e-02,1.328732451956981997e+01,2.124728436318416847e-02,2.804255181370440483e-02,2.587928601194093223e-02,2.010238604756412958e-02,1.504436780646643268e-01,1.728347209938412288e-01,1.660345129649677676e-01,1.463342654463865022e-01
1.682500000000000107e+00,2.759596253640064084e-02,4.878821043361725174e-02,7.319670603802953812e-02,6.549615432454672370e-02,3.417065002072502411e-01,2.344926194536502140e-01,7.181307040733279912e-02,4.098926472686903466e-01,9.389591592364310291e-01,7.903326193759031837e-02,1.329614541926665439e+01,2.123914969478351775e-02,2.803613996275242798e-02,2.588463788869473786e-02,2.009179772138296530e-02,1.503990910551908367e-01,1.727968249786101529e-01,1.660342541395872507e-01,1.462803690098873899e-01
1.685000000000000053e+00,2.761932088888547840e-02,4.872367216545851754e-02,7.316247954138571652e-02,6.536832206731008066e-02,3.421859478185746983e-01,2.352262363948282864e-01,7.176788459595027925e-02,4.101222800860548356e-01,9.391572610201727178e-01,7.944823708517700922e-02,1.330498361408042918e+01,2.123099656875854224e-02,2.802968048088277583e-02,2.588999173276310822e-02,2.008120867523559977e-02,1.503543611854091244e-01,1.727586944055303220e-01,1.660339100738207618e-01,1.462263919953375180e-01
1.687500000000000000e+00,2.764303642683784562e-02,4.865928598547578088e-02,7.312819091600254728e-02,6.523909836972918708e-02,3.426670158042492420e-01,2.359603002679094008e-01,7.172283278329673328e-02,4.103504777842945095e-01,9.393564007825307982e-01,7.986364504350371152e-02,1.331383914328248075e+01,2.122282493450605018e-02,2.802317338834094465e-02,2.589534753639486514e-02,2.007061899421211729e-02,1.503094882923719233e-01,1.727203293517973470e-01,1.660334807018710446e-01,1.461723347565291597e-01
1.689999999999999947e+00,2.766711045543763722e-02,4.859506004836203208e-02,7.309384017821035640e-02,6.510849361579285066e-02,3.431497068010417317e-01,2.366948085374681321e-01,7.167791695803403529e-02,4.105772473612545603e-01,9.395565796071517761e-01,8.027948711794566372e-02,1.332271204633992312e+01,2.121463474148812395e-02,2.801661870581952096e-02,2.590070529170745636e-02,2.006002876285656322e-02,1.502644722136017297e-01,1.726817298962830816e-01,1.660329659577282624e-01,1.461181976456825127e-01
1.692500000000000115e+00,2.769154425204829739e-02,4.853100260269049837e-02,7.305942733561740510e-02,6.497651831230841224e-02,3.436340232993662092e-01,2.374297585995130688e-01,7.163313912974651754e-02,4.108025960185163750e-01,9.397577985810215973e-01,8.069576467575342860e-02,1.333160236291654499e+01,2.120642593924075212e-02,2.801001645446261207e-02,2.590606499068552962e-02,2.004943806515780899e-02,1.502193127871098988e-01,1.726428961195360934e-01,1.660323657751537896e-01,1.460639810133987360e-01
1.695000000000000062e+00,2.771633906589188873e-02,4.846712198824615347e-02,7.302495238719101944e-02,6.484318308867126346e-02,3.441199676438728150e-01,2.381651477784055282e-01,7.158850132956028067e-02,4.110265311610839523e-01,9.399600587946229657e-01,8.111247914664236613e-02,1.334051013287370324e+01,2.119819847738240240e-02,2.800336665587048121e-02,2.591142662517947545e-02,2.003884698454047597e-02,1.501740098514151023e-01,1.726038281037826083e-01,1.660316800876628640e-01,1.460096852086124053e-01
1.697500000000000009e+00,2.774149611772969148e-02,4.840342663321932359e-02,7.299041532334721305e-02,6.470849869665540322e-02,3.446075420341124240e-01,2.389009733237417998e-01,7.154400561078025356e-02,4.112490603970525016e-01,9.401633613420911084e-01,8.152963202337290549e-02,1.334943539627119335e+01,2.118995230562256346e-02,2.799666933210437705e-02,2.591679018690391106e-02,2.002825560385591494e-02,1.501285632455619523e-01,1.725645259329278702e-01,1.660309088285076839e-01,1.459553105785444671e-01
1.699999999999999956e+00,2.776701659954862803e-02,4.833992505126120942e-02,7.295581612604880306e-02,6.457247601022392258e-02,3.450967485252772193e-01,2.396372324072046367e-01,7.149965404954441994e-02,4.114701915372526719e-01,9.403677073213732029e-01,8.194722486232283720e-02,1.335837819336817134e+01,2.118168737377020688e-02,2.798992450569157478e-02,2.592215566743612948e-02,2.001766400537324450e-02,1.500829728091389592e-01,1.725249896925582227e-01,1.660300519306597833e-01,1.459008574686551096e-01
1.702500000000000124e+00,2.779290167425348471e-02,4.827662583840342664e-02,7.292115476891235237e-02,6.443512602536162481e-02,3.455875890290181496e-01,2.403739221193853803e-01,7.145544874549575320e-02,4.116899325948814026e-01,9.405730978343864734e-01,8.236525928405119545e-02,1.336733856462403836e+01,2.117340363174219711e-02,2.798313219963061496e-02,2.592752305821451400e-02,2.000707227077045194e-02,1.500372383822965450e-01,1.724852194699435515e-01,1.660291093267925455e-01,1.458463262225968005e-01
1.705000000000000071e+00,2.781915247536515326e-02,4.821353766984068367e-02,7.288643121732396590e-02,6.429645985992935020e-02,3.460800653143363270e-01,2.411110394665803014e-01,7.141139182247165096e-02,4.119082917851145109e-01,9.407795339871813933e-01,8.278373697385348062e-02,1.337631655069933778e+01,2.116510102957164588e-02,2.797629243739674712e-02,2.593289235053688330e-02,1.999648048112554616e-02,1.499913598057645847e-01,1.724452153540403654e-01,1.660280809492631626e-01,1.457917171821674907e-01
1.707500000000000018e+00,2.784577010672503392e-02,4.815066929657984413e-02,7.285164542856405190e-02,6.415648875353952008e-02,3.465741790085538621e-01,2.418485813675624319e-01,7.136748542921188265e-02,4.121252775247030709e-01,9.409870168901027787e-01,8.320265968230829146e-02,1.338531219245666648e+01,2.115677951741618337e-02,2.796940524294758146e-02,2.593826353555881564e-02,1.998588871690777299e-02,1.499453369208696152e-01,1.724049774354954045e-01,1.660269667300945939e-01,1.457370306872638466e-01
1.709999999999999964e+00,2.787275564220584659e-02,4.808802954195496443e-02,7.281679735194103442e-02,6.401522406745602245e-02,3.470699315983593047e-01,2.425865446503364387e-01,7.132373174008424521e-02,4.123408984315595216e-01,9.411955476579537683e-01,8.362202922581571385e-02,1.339432553096158607e+01,2.114843904556616000e-02,2.796247064072895222e-02,2.594363660429190380e-02,1.997529705796890001e-02,1.498991695695519877e-01,1.723645058066498592e-01,1.660257666009571642e-01,1.456822670758347593e-01
1.712500000000000133e+00,2.790011012542879115e-02,4.802562729801090891e-02,7.278188692893446110e-02,6.387267728451576088e-02,3.475673244309296916e-01,2.433249260488722088e-01,7.128013295582898146e-02,4.125551633243280114e-01,9.414051274101613576e-01,8.404184748712682784e-02,1.340335660748353419e+01,2.114007956445277531e-02,2.795548865568098229e-02,2.594901154760197518e-02,1.996470558353454286e-02,1.498528575943822994e-01,1.723238005615441715e-01,1.660244804931499951e-01,1.456274266838350206e-01
1.715000000000000080e+00,2.792783456948761539e-02,4.796347152175609724e-02,7.274691409334718695e-02,6.372886000907501680e-02,3.480663587151301974e-01,2.440637221998293305e-01,7.123669130432130903e-02,4.127680812219484130e-01,9.416157572709435986e-01,8.446211641586472141e-02,1.341240546349675355e+01,2.113170102465613057e-02,2.794845931324435942e-02,2.595438835620725651e-02,1.995411437219557493e-02,1.498064008385777413e-01,1.722828617959231146e-01,1.660231083375819650e-01,1.455725098451786936e-01
1.717500000000000027e+00,2.795592995667917427e-02,4.790157123128694489e-02,7.271187877146692569e-02,6.358378396697886292e-02,3.485670355227906692e-01,2.448029296392660592e-01,7.119340904135294801e-02,4.129796613432079044e-01,9.418274383694755780e-01,8.488283802903687225e-02,1.342147214068121031e+01,2.112330337691317728e-02,2.794138263936682062e-02,2.595976702067648648e-02,1.994352350189958559e-02,1.497597991460181410e-01,1.722416896072420378e-01,1.660216500647528348e-01,1.455175168916934270e-01
1.719999999999999973e+00,2.798439723824115363e-02,4.783993550178509274e-02,7.267678088223715471e-02,6.343746100555648637e-02,3.490693557900576005e-01,2.455425447993447863e-01,7.115028845143216152e-02,4.131899131062896080e-01,9.420401718400608360e-01,8.530401441153867559e-02,1.343055668092355859e+01,2.111488657212559281e-02,2.793425866050984474e-02,2.596514753142697626e-02,1.993293304994240775e-02,1.497130523612614228e-01,1.722002840946730562e-01,1.660201056047337642e-01,1.454624481530741309e-01
1.722500000000000142e+00,2.801323733409674319e-02,4.777857346139029182e-02,7.264162033743760960e-02,6.328990309364004863e-02,3.495733203188232663e-01,2.462825640050302356e-01,7.110733184860297540e-02,4.133988461283105154e-01,9.422539588223003415e-01,8.572564771664825667e-02,1.343965912631805537e+01,2.110645056136756237e-02,2.792708740365554623e-02,2.597052987872260771e-02,1.992234309295969411e-02,1.496661603295589282e-01,1.721586453591121002e-01,1.660184748871476046e-01,1.454073039568373749e-01
1.725000000000000089e+00,2.804245113260692493e-02,4.771749428695020584e-02,7.260639704187420163e-02,6.314112232161073202e-02,3.500789297782334608e-01,2.470229834707879102e-01,7.106454157728296639e-02,4.136064702248601344e-01,9.424688004612630232e-01,8.614774016651258193e-02,1.344877951916753567e+01,2.109799529589345690e-02,2.791986889631379101e-02,2.597591405267179673e-02,1.991175370691857655e-02,1.496191228968701825e-01,1.721167735031868540e-01,1.660167578411494149e-01,1.453520846282756462e-01
1.727500000000000036e+00,2.807203949032981150e-02,4.765670719964978236e-02,7.257111089357824729e-02,6.299113090146971072e-02,3.505861847062672898e-01,2.477637992972838987e-01,7.102192001312063185e-02,4.138127954095350836e-01,9.426846979076609623e-01,8.657029405262477162e-02,1.345791790198438775e+01,2.108952072714541728e-02,2.791260316652950657e-02,2.598130004322537698e-02,1.990116496710936378e-02,1.495719399098773827e-01,1.720746686312646379e-01,1.660149543954058948e-01,1.452967904904118868e-01
1.729999999999999982e+00,2.810200323178753054e-02,4.759622146052228109e-02,7.253576178401578700e-02,6.283994116693568388e-02,3.510950855113975089e-01,2.485050074680898169e-01,7.097946956387143902e-02,4.140178318934708002e-01,9.429016523180220322e-01,8.699331173629193392e-02,1.346707431749151596e+01,2.108102680676082405e-02,2.790529024289020374e-02,2.598668784017443834e-02,1.989057694813732916e-02,1.495246112159992757e-01,1.720323308494612902e-01,1.660130644780753173e-01,1.452414218639540289e-01
1.732499999999999929e+00,2.813234314924135601e-02,4.753604636584519982e-02,7.250034959830596593e-02,6.268756557357109405e-02,3.516056324743239148e-01,2.492466038463967692e-01,7.093719267029346964e-02,4.142215900848804644e-01,9.431196648548645367e-01,8.741679564909513034e-02,1.347624880862334962e+01,2.107251348657966650e-02,2.789793015453370315e-02,2.599207743314809957e-02,1.987998972391453317e-02,1.494771366634049525e-01,1.719897602656506874e-01,1.660110880167869618e-01,1.451859790672500872e-01
1.735000000000000098e+00,2.816306000247403157e-02,4.747619124242270783e-02,7.246487421544928198e-02,6.253401669893289549e-02,3.521178257497834529e-01,2.499885841717410240e-01,7.089509180706204949e-02,4.144240805885875401e-01,9.433387366868750679e-01,8.784074829333896051e-02,1.348544141852685030e+01,2.106398071865180077e-02,2.789052293115605596e-02,2.599746881161122888e-02,1.986940336765171886e-02,1.494295161010268380e-01,1.719469569894744310e-01,1.660090249386199646e-01,1.451304624162428891e-01
1.737500000000000044e+00,2.819415451858070520e-02,4.741666544275796591e-02,7.242933550856549274e-02,6.237930724275408262e-02,3.526316653684355984e-01,2.507309440567425662e-01,7.085316948370361245e-02,4.146253142055723595e-01,9.435588689890831438e-01,8.826517224249334770e-02,1.349465219056253495e+01,2.105542845524408305e-02,2.788306860301967977e-02,2.600286196486208817e-02,1.985881795185027651e-02,1.493817493785736528e-01,1.719039211323528105e-01,1.660068751700826128e-01,1.450748722244255551e-01
1.739999999999999991e+00,2.822562739176761801e-02,4.735747834011820590e-02,7.239373334514065395e-02,6.222345002715234941e-02,3.531471512388219547e-01,2.514736789838640241e-01,7.081142824554909065e-02,4.148253019325171542e-01,9.437800629430433963e-01,8.869007014162515190e-02,1.350388116830550267e+01,2.104685664884739169e-02,2.787556720096167825e-02,2.600825688202993563e-02,1.984823354829425360e-02,1.493338363465423757e-01,1.718606528074953232e-01,1.660046386370905569e-01,1.450192088027965343e-01
1.742499999999999938e+00,2.825747928315936255e-02,4.729863932349553934e-02,7.235806758728416388e-02,6.206645799686826004e-02,3.536642831494006267e-01,2.522167843021911326e-01,7.076987067470597026e-02,4.150240549613624652e-01,9.440023197370116526e-01,8.911544470782109539e-02,1.351312839554650758e+01,2.103826525218351409e-02,2.786801875640237958e-02,2.601365355207253469e-02,1.983765022804243744e-02,1.492857768562303455e-01,1.718171521299129145e-01,1.660023152649455491e-01,1.449634724598153346e-01
1.745000000000000107e+00,2.828971082061455464e-02,4.724015779246572289e-02,7.232233809199516139e-02,6.190834421953216038e-02,3.541830607706550338e-01,2.529602552242337099e-01,7.072849939105035899e-02,4.152215846788729903e-01,9.442256405661275664e-01,8.954129873060132083e-02,1.352239391629303178e+01,2.102965421821192255e-02,2.786042330135403769e-02,2.601905196377362478e-02,1.982706806142049000e-02,1.492375707597464463e-01,1.717734192164299400e-01,1.659999049783132952e-01,1.449076635013582248e-01
1.747500000000000053e+00,2.832232259855005721e-02,4.718204315195002885e-02,7.228654471143834692e-02,6.174912188596124590e-02,3.547034836572753314e-01,2.537040868227589119e-01,7.068731705323744174e-02,4.154179026662130347e-01,9.444500266325949189e-01,8.996763507232349855e-02,1.353167777477039024e+01,2.102102350013640431e-02,2.785278086842975925e-02,2.602445210574030887e-02,1.981648711801314508e-02,1.491892179100220150e-01,1.717294541856970447e-01,1.659974077012015270e-01,1.448517822306740754e-01
