p,delta,Gamma_delta_eq_delta_minus_p,min_expected_area_stretch_K2,min_uniform_integrated_strain_J
5.000000000000000000e-01,1.000000000000000021e-02,1.000000000000000000e+01,3.183098861837906225e+04,5.184097789560413894e+00
5.000000000000000000e-01,7.498942093324557912e-03,1.154781984689458163e+01,6.536573174471399398e+04,5.543876710340733815e+00
5.000000000000000000e-01,5.623413251903490971e-03,1.333521432163323972e+01,1.342301660104545008e+05,5.903655631121053737e+00
5.000000000000000000e-01,4.216965034285822048e-03,1.539926526059492140e+01,2.756450052079657908e+05,6.263434551901372771e+00
5.000000000000000000e-01,3.162277660168379394e-03,1.778279410038922848e+01,5.660439166124679614e+05,6.623213472681692693e+00
5.000000000000000000e-01,2.371373705661655382e-03,2.053525026457145941e+01,1.162385348837524652e+06,6.982992393462012615e+00
5.000000000000000000e-01,1.778279410038922752e-03,2.371373705661655151e+01,2.386987404224977363e+06,7.342771314242331648e+00
5.000000000000000000e-01,1.333521432163324062e-03,2.738419634264361235e+01,4.901738372413969599e+06,7.702550235022651570e+00
5.000000000000000000e-01,1.000000000000000021e-03,3.162277660168379256e+01,1.006584242089740559e+07,8.062329155802970604e+00
5.000000000000000000e-01,7.498942093324558562e-04,3.651741272548377282e+01,2.067045932368681207e+07,8.422108076583290526e+00
5.000000000000000000e-01,5.623413251903490971e-04,4.216965034285822611e+01,4.244730552955532074e+07,8.781886997363610448e+00
5.000000000000000000e-01,4.216965034285822373e-04,4.869675251658631510e+01,8.716660421061465144e+07,9.141665918143930369e+00
5.000000000000000000e-01,3.162277660168379394e-04,5.623413251903490817e+01,1.789988032177820206e+08,9.501444838924250291e+00
5.000000000000000000e-01,2.371373705661655111e-04,6.493816315762113334e+01,3.675785221135934591e+08,9.861223759704570213e+00
5.000000000000000000e-01,1.778279410038922698e-04,7.498942093324558300e+01,7.548316943483955860e+08,1.022100268048488836e+01
5.000000000000000000e-01,1.333521432163323954e-04,8.659643233600654355e+01,1.550065775107481480e+09,1.058078160126520828e+01
5.000000000000000000e-01,1.000000000000000048e-04,1.000000000000000000e+02,3.183098861837906837e+09,1.094056052204552820e+01
5.000000000000000000e-01,7.498942093324558562e-05,1.154781984689458199e+02,6.536573174471398354e+09,1.130033944282584812e+01
5.000000000000000000e-01,5.623413251903490700e-05,1.333521432163323936e+02,1.342301660104545212e+10,1.166011836360616805e+01
5.000000000000000000e-01,4.216965034285822237e-05,1.539926526059492176e+02,2.756450052079657745e+10,1.201989728438648797e+01
5.000000000000000000e-01,3.162277660168379530e-05,1.778279410038922776e+02,5.660439166124679565e+10,1.237967620516680611e+01
5.000000000000000000e-01,2.371373705661655382e-05,2.053525026457145941e+02,1.162385348837524719e+11,1.273945512594712604e+01
5.000000000000000000e-01,1.778279410038922901e-05,2.371373705661655151e+02,2.386987404224976807e+11,1.309923404672744596e+01
5.000000000000000000e-01,1.333521432163324055e-05,2.738419634264361093e+02,4.901738372413970947e+11,1.345901296750776588e+01
5.000000000000000000e-01,9.999999999999999124e-06,3.162277660168379612e+02,1.006584242089741089e+12,1.381879188828808580e+01
5.000000000000000000e-01,7.498942093324558054e-06,3.651741272548376855e+02,2.067045932368681152e+12,1.417857080906840572e+01
5.000000000000000000e-01,5.623413251903491208e-06,4.216965034285822185e+02,4.244730552955530762e+12,1.453834972984872387e+01
5.000000000000000000e-01,4.216965034285822407e-06,4.869675251658630941e+02,8.716660421061464844e+12,1.489812865062904379e+01
5.000000000000000000e-01,3.162277660168379191e-06,5.623413251903490391e+02,1.789988032177820703e+13,1.525790757140936371e+01
5.000000000000000000e-01,2.371373705661655212e-06,6.493816315762113618e+02,3.675785221135933594e+13,1.561768649218968363e+01
5.000000000000000000e-01,1.778279410038922689e-06,7.498942093324558300e+02,7.548316943483956250e+13,1.597746541297000356e+01
5.000000000000000000e-01,1.333521432163324098e-06,8.659643233600653502e+02,1.550065775107480938e+14,1.633724433375032348e+01
5.000000000000000000e-01,9.999999999999999547e-07,1.000000000000000000e+03,3.183098861837907500e+14,1.669702325453064162e+01
5.000000000000000000e-01,7.498942093324558477e-07,1.154781984689458113e+03,6.536573174471398750e+14,1.705680217531096332e+01
5.000000000000000000e-01,5.623413251903490361e-07,1.333521432163324107e+03,1.342301660104545500e+15,1.741658109609128147e+01
5.000000000000000000e-01,4.216965034285822513e-07,1.539926526059492062e+03,2.756450052079657500e+15,1.777636001687160316e+01
5.000000000000000000e-01,3.162277660168379191e-07,1.778279410038922833e+03,5.660439166124680000e+15,1.813613893765192131e+01
5.000000000000000000e-01,2.371373705661655371e-07,2.053525026457145941e+03,1.162385348837524600e+16,1.849591785843223946e+01
5.000000000000000000e-01,1.778279410038922689e-07,2.371373705661655549e+03,2.386987404224978000e+16,1.885569677921256115e+01
5.000000000000000000e-01,1.333521432163324045e-07,2.738419634264361321e+03,4.901738372413971200e+16,1.921547569999287930e+01
5.000000000000000000e-01,9.999999999999999547e-08,3.162277660168379498e+03,1.006584242089740960e+17,1.957525462077320100e+01
5.000000000000000000e-01,7.498942093324558742e-08,3.651741272548376855e+03,2.067045932368680640e+17,1.993503354155351914e+01
5.000000000000000000e-01,5.623413251903490494e-08,4.216965034285822185e+03,4.244730552955532800e+17,2.029481246233383729e+01
5.000000000000000000e-01,4.216965034285822513e-08,4.869675251658631169e+03,8.716660421061466880e+17,2.065459138311415899e+01
5.000000000000000000e-01,3.162277660168379191e-08,5.623413251903491073e+03,1.789988032177820672e+18,2.101437030389447713e+01
