R,zeta,Gamma_enclosed,dGamma_dR,material_viscous_dGamma_dt
1.000000000000000056e-01,8.965569387924904321e-01,2.836831448851787063e-02,5.633233384870883764e-01,-4.828485758460757289e-03
1.040000000000000091e-01,8.955124184853879843e-01,3.066533454986224150e-02,5.851737289033217548e-01,-5.216405811938181966e-03
1.079999999999999988e-01,8.944282259990361528e-01,3.304959828760968554e-02,6.069446950957754217e-01,-5.618573748886607211e-03
1.120000000000000023e-01,8.933045084282476012e-01,3.552078222338758001e-02,6.286333493656885985e-01,-6.034880153910610230e-03
1.160000000000000059e-01,8.921414181034867941e-01,3.807855136502429766e-02,6.502368226178859567e-01,-6.465211836314981031e-03
1.200000000000000094e-01,8.909391125564556368e-01,4.072255928222947435e-02,6.717522649927610834e-01,-6.909451868496971003e-03
1.239999999999999991e-01,8.896977544845362518e-01,4.345244818479020860e-02,6.931768464921806983e-01,-7.367479625574035844e-03
1.280000000000000027e-01,8.884175117140992173e-01,4.626784900325831701e-02,7.145077575991137797e-01,-7.839170826230276376e-03
1.320000000000000062e-01,8.870985571626922583e-01,4.916838147210325638e-02,7.357422098907986374e-01,-8.324397574764465929e-03
1.360000000000000098e-01,8.857410688001189358e-01,5.215365421530445550e-02,7.568774366452613034e-01,-8.823028404321904203e-03
1.400000000000000133e-01,8.843452296084199915e-01,5.522326483435612693e-02,7.779106934409976137e-01,-9.334928321291971476e-03
1.440000000000000169e-01,8.829112275407710042e-01,5.837679999865692110e-02,7.988392587496414565e-01,-9.859958850852718407e-03
1.480000000000000204e-01,8.814392554793077927e-01,6.161383553825568876e-02,8.196604345214373311e-01,-1.039797808364337911e-02
1.519999999999999962e-01,8.799295111918942203e-01,6.493393653892480522e-02,8.403715467633430247e-01,-1.094884072354526845e-02
1.559999999999999998e-01,8.783821972878453899e-01,6.833665743953058758e-02,8.609699461095892126e-01,-1.151239813655107955e-02
1.600000000000000033e-01,8.767975211726187768e-01,7.182154213167060708e-02,8.814530083845250052e-01,-1.208849840070205621e-02
1.640000000000000069e-01,8.751756950014905057e-01,7.538812406154687951e-02,9.018181351575839111e-01,-1.267698635707232430e-02
1.680000000000000104e-01,8.735169356322284306e-01,7.903592633404254997e-02,9.220627542902083418e-01,-1.327770366177900146e-02
1.720000000000000140e-01,8.718214645767776716e-01,8.276446181897034737e-02,9.421843204745667943e-01,-1.389048883899647070e-02
1.760000000000000175e-01,8.700895079519744835e-01,8.657323325945882886e-02,9.621803157639132742e-01,-1.451517733495275193e-02
1.800000000000000211e-01,8.683212964293032243e-01,9.046173338244342665e-02,9.820482500944310855e-01,-1.515160157288551225e-02
1.839999999999999969e-01,8.665170651837111881e-01,9.442944501122731149e-02,1.001785661798411331e+00,-1.579959100893494131e-02
1.880000000000000004e-01,8.646770538414985108e-01,9.847584118007755849e-02,1.021390118108620237e+00,-1.645897218895033681e-02
1.920000000000000040e-01,8.628015064272992474e-01,1.026003852508208247e-01,1.040859215653712644e+00,-1.712956880618681302e-02
1.960000000000000075e-01,8.608906713101686092e-01,1.068025310314026644e-01,1.060190580944548211e+00,-1.781120175986841345e-02
2.000000000000000111e-01,8.589448011487947898e-01,1.110817228963735387e-01,1.079381870851279679e+00,-1.850368921459337110e-02
2.040000000000000147e-01,8.569641528358511451e-01,1.154373959092646618e-01,1.098430773071075617e+00,-1.920684666055709824e-02
2.080000000000000182e-01,8.549489874415061585e-01,1.198689759468155730e-01,1.117335006586351653e+00,-1.992048697456810097e-02
2.120000000000000218e-01,8.528995701561091769e-01,1.243758798250156478e-01,1.136092322113385844e+00,-2.064442048183181416e-02
2.159999999999999976e-01,8.508161702320685693e-01,1.289575154269206603e-01,1.154700502541194718e+00,-2.137845501847697796e-02
2.200000000000000011e-01,8.486990609249399631e-01,1.336132818322048332e-01,1.173157363360552985e+00,-2.212239599479899968e-02
2.240000000000000047e-01,8.465485194337450947e-01,1.383425694484095303e-01,1.191460753083045665e+00,-2.287604645919447469e-02
2.280000000000000082e-01,8.443648268405350432e-01,1.431447601438477213e-01,1.209608553650040497e+00,-2.363920716276078984e-02
2.320000000000000118e-01,8.421482680492209383e-01,1.480192273821240856e-01,1.227598680831475608e+00,-2.441167662453448337e-02
2.360000000000000153e-01,8.398991317236872423e-01,1.529653363582296199e-01,1.245429084614362747e+00,-2.519325119734196899e-02
2.400000000000000189e-01,8.376177102252089224e-01,1.579824441361700194e-01,1.263097749580905926e+00,-2.598372513423578140e-02
2.440000000000000224e-01,8.353042995491896106e-01,1.630698997880847545e-01,1.280602695276142677e+00,-2.678289065548961415e-02
2.479999999999999982e-01,8.329591992612408458e-01,1.682270445348164056e-01,1.297941976565018640e+00,-2.759053801612497414e-02
2.520000000000000018e-01,8.305827124326213839e-01,1.734532118878865381e-01,1.315113683978811565e+00,-2.840645557394232829e-02
2.560000000000000053e-01,8.281751455750566704e-01,1.787477277928360420e-01,1.332115944050818790e+00,-2.923042985802939281e-02
2.600000000000000089e-01,8.257368085749566822e-01,1.841099107738866092e-01,1.348946919641238029e+00,-3.006224563771901434e-02
2.640000000000000124e-01,8.232680146270540122e-01,1.895390720798799666e-01,1.365604810251162204e+00,-3.090168599196916124e-02
2.680000000000000160e-01,8.207690801674787373e-01,1.950345158314511496e-01,1.382087852325622590e+00,-3.174853237913716208e-02
2.720000000000000195e-01,8.182403248062944945e-01,2.005955391693919343e-01,1.398394319545615216e+00,-3.260256470712063342e-02
