t,sigma,b,core_radius_sqrt_b,peak_vorticity,numerical_Gamma,relative_Gamma_error
3.549999999999641886e+00,1.384871255766252141e+00,8.604075798265735375e-02,2.933270495243446851e-01,1.109857329178632668e+01,2.999999476992000869e+00,-1.743359997104695076e-07
3.599999999999636380e+00,1.398443818031137598e+00,8.411821763955318332e-02,2.900314080225677715e-01,1.135223362248649437e+01,2.999999465038536872e+00,-1.783204877092714469e-07
3.649999999999630873e+00,1.404233916972249752e+00,8.228669911322668284e-02,2.868565828305613130e-01,1.160490904170778137e+01,2.999999453131484639e+00,-1.822895051202995938e-07
3.699999999999625366e+00,1.403899394986590776e+00,8.056913496475016923e-02,2.838470274016449135e-01,1.185230124375995331e+01,2.999999441473399919e+00,-1.861755333602369837e-07
3.749999999999619860e+00,1.399367286341601346e+00,7.897813947715306981e-02,2.810304956355325068e-01,1.209106298113816358e+01,2.999999430222015651e+00,-1.899259947831429536e-07
3.799999999999614353e+00,1.392739303487529501e+00,7.751663770962496924e-02,2.784180987465164070e-01,1.231902836302717752e+01,2.999999419479397744e+00,-1.935068674185913551e-07
3.849999999999608846e+00,1.386190016195398833e+00,7.617879914656744411e-02,2.760050708711118128e-01,1.253537295480458447e+01,2.999999409284396013e+00,-1.969052013291635313e-07
3.899999999999603340e+00,1.381862087260939287e+00,7.495119148211645821e-02,2.737721524956774344e-01,1.274068683456780882e+01,2.999999399609205586e+00,-2.001302648046987542e-07
3.949999999999597833e+00,1.381763051002456555e+00,7.381410324086380703e-02,2.716875102776419859e-01,1.293695400505412962e+01,2.999999390360331031e+00,-2.032132229897361804e-07
3.999999999999592326e+00,1.387668054679729535e+00,7.274301026485618937e-02,2.697091215825971888e-01,1.312744214288751188e+01,2.999999381383786190e+00,-2.062054046033286732e-07
4.049999999999697842e+00,1.401032731050566138e+00,7.171017500973525527e-02,2.677875557409926666e-01,1.331651552128735361e+01,2.999999372473911130e+00,-2.091753629566520949e-07
4.099999999999803357e+00,1.422919943126644604e+00,7.068636634857720924e-02,2.658690774583934435e-01,1.350938954539418191e+01,2.999999363384934448e+00,-2.122050218507827986e-07
4.149999999999908873e+00,1.453943557700921207e+00,6.964267147659548851e-02,2.638989796808534072e-01,1.371184703723336007e+01,2.999999353844347016e+00,-2.153852176611792402e-07
4.200000000000014388e+00,1.494231686896542399e+00,6.855234394728881853e-02,2.618250254412072264e-01,1.392993446417580294e+01,2.999999343567217203e+00,-2.188109275991223512e-07
4.250000000000119904e+00,1.543411016903702082e+00,6.739259915159184766e-02,2.596008458221811255e-01,1.416965172100527504e+01,2.999999332270804953e+00,-2.225763983491428071e-07
4.300000000000225420e+00,1.600612954603396920e+00,6.614623913130542043e-02,2.571891116110971987e-01,1.443664327847517548e+01,2.999999319689120370e+00,-2.267702932101656188e-07
4.350000000000330935e+00,1.664501403172077953e+00,6.480297166090022432e-02,2.545642780535011251e-01,1.473589303200955136e+01,2.999999305587303766e+00,-2.314708987446086603e-07
4.400000000000436451e+00,1.733321065572570152e+00,6.336029183779681717e-02,2.517147032610467239e-01,1.507142140373981398e+01,2.999999289775897360e+00,-2.367413675467370531e-07
4.450000000000541966e+00,1.804964308311361787e+00,6.182382214479885396e-02,2.486439666366325740e-01,1.544598223504867640e+01,2.999999272125128957e+00,-2.426249570142147149e-07
4.500000000000647482e+00,1.877053833318293341e+00,6.020705781539511386e-02,2.453712652602074995e-01,1.586075940597106992e+01,2.999999252579209852e+00,-2.491402633827040644e-07
4.550000000000752998e+00,1.947037736188548029e+00,5.853053111646540352e-02,2.419308395316012716e-01,1.631506908165980718e+01,2.999999231170363601e+00,-2.562765454664865375e-07
4.600000000000858513e+00,2.012293002415729948e+00,5.682047888509667022e-02,2.383704656309096337e-01,1.680608254785122213e+01,2.999999208031892461e+00,-2.639893691795218147e-07
4.650000000000964029e+00,2.070233131749223077e+00,5.510715839244566261e-02,2.347491392794564813e-01,1.732859552929294367e+01,2.999999183409040704e+00,-2.721969864320309953e-07
4.700000000001069544e+00,2.118415399626288664e+00,5.342299512455972454e-02,2.311341496286511976e-01,1.787488058887155162e+01,2.999999157665955707e+00,-2.807780147643749716e-07
4.750000000001175060e+00,2.154643271407109317e+00,5.180075510983914860e-02,2.275977924098543381e-01,1.843466676357369494e+01,2.999999131286643195e+00,-2.895711189350909662e-07
4.800000000001280576e+00,2.177059679656097479e+00,5.027191351425173982e-02,2.242139904516480819e-01,1.899529164094094114e+01,2.999999104867809407e+00,-2.983773968641874616e-07
4.850000000001386091e+00,2.184227248880644012e+00,4.886534644228992391e-02,2.210550755859044259e-01,1.954206258783299432e+01,2.999999079101826283e+00,-3.069660579058108851e-07
4.900000000001491607e+00,2.175192090350785534e+00,4.760641474315829846e-02,2.181889427609893795e-01,2.005884424826611578e+01,2.999999054749055372e+00,-3.150836482094613858e-07
4.950000000001597122e+00,2.149528469401355224e+00,4.651644898630811348e-02,2.156767233298672592e-01,2.052885977673082607e+01,2.999999032600086935e+00,-3.224666376884973160e-07
5.000000000001702638e+00,2.107362440554193306e+00,4.561259383014747842e-02,2.135710510114783300e-01,2.093565786035642518e+01,2.999999013430171502e+00,-3.288566094994394007e-07
