s,rho,L,reach,curv_radius,half_nonlocal_sep,eps_over_reach
1.215,0.12826660487973765,18.75063323138052,0.04284440181569555,0.1241893067216188,0.04284440181569555,0.23340272185423805
1.23,0.17105974109215172,19.049807790481292,0.046134713569866016,0.12251744654578747,0.046134713569866016,0.21675652076729784
1.245,0.13999428554400775,19.187272631585813,0.04372929993277979,0.10703332480367868,0.04372929993277979,0.22867962705490125
1.26,0.13069523973613772,19.392493967283436,0.015173995103363869,0.1000302227707816,0.015173995103363869,0.6590222240010567
1.275,0.32834142102503794,19.77545478254694,0.035754260402921255,0.1311513724299189,0.035754260402921255,0.2796869488365354
1.29,0.19692623850430563,19.981957184227603,0.028287867677987338,0.1346366629897212,0.028287867677987338,0.35350844092719164
1.305,0.3181627986310616,20.25824192694128,0.02766020479286887,0.1254838122123486,0.02766020479286887,0.3615302227472343
1.32,0.2028939820922276,20.383671625064885,0.030913553796759558,0.10958167562868858,0.030913553796759558,0.32348270489199554
1.335,0.3469085294678781,20.51958395047613,0.02456161822199757,0.1077108365587667,0.02456161822199757,0.40713929797361337
1.35,0.25988689137596765,20.69212008596037,0.02139144175271872,0.10307678314513069,0.02139144175271872,0.467476672007349
1.365,0.4473140108135447,20.997766748654254,0.01868255102075629,0.13637048074746722,0.01868255102075629,0.5352588085476129
1.38,0.28902167447344745,20.96696132693502,0.038268388544696996,0.146740845344144,0.038268388544696996,0.26131228359198155
1.395,0.20072139342431264,21.121477276179355,0.02979277342473234,0.14500253917059247,0.02979277342473234,0.33565186622399323
1.41,0.2805014093160232,21.291485182356915,0.029634590722920597,0.10400217371379013,0.029634590722920597,0.3374434995069999
1.425,0.25591397668803906,21.15818588448553,0.016708542780387924,0.06640995679068293,0.016708542780387924,0.5984962382080233
1.44,0.21839376375916272,21.321249083723487,0.043626993074438805,0.0486729814447307,0.043626993074438805,0.22921588895520356
1.455,0.1809138483766158,21.411729068139536,0.04327409098563296,0.06356436606630114,0.04327409098563296,0.2310851544708359
1.47,0.25269020652939933,21.557144652370972,0.029579415712565362,0.11028698310918418,0.029579415712565362,0.33807293886985035
1.485,0.61151440029717,21.74972697001872,0.015090096155463271,0.08492468230743146,0.015090096155463271,0.6626863008013083
1.5,0.35822807788435373,21.86679763560953,0.030112863059132303,0.14193982544018843,0.030112863059132303,0.3320839994643853
1.515,0.5387738923521365,21.91469588898939,0.03003135462267505,0.152963847008815,0.03003135462267505,0.33298531237247425
1.53,0.28378505284644223,22.076108576160607,0.028383637949964364,0.16211093701688178,0.028383637949964364,0.35231565515415386
1.545,0.2075988491850122,22.220226019996165,0.0347325235580755,0.13059760513663105,0.0347325235580755,0.2879145819415977
1.56,0.43061357974198367,22.354109119200263,0.03313592312675364,0.1158387866195798,0.03313592312675364,0.3017872766588504
1.575,0.5432569233437814,22.59148447505943,0.02476203197067893,0.11513171755047172,0.02476203197067893,0.4038440791870853
1.59,0.4746823522841536,22.705792736464208,0.022343816328324755,0.1351948170883827,0.022343816328324755,0.44755111897886596
1.605,0.38752696175917056,22.733497544218174,0.019137086066215978,0.13302042629643765,0.019137086066215978,0.5225455936917006
1.62,-0.6085954622721688,23.23568996021528,0.005891939707141259,0.13078754289236683,0.005891939707141259,1.697233932635056
1.635,0.6013181426346609,23.2115614616273,0.03043528071822281,0.11833467028744415,0.03043528071822281,0.3285660511096454
1.65,0.5824067549029873,23.11608619303931,0.019873517905437798,0.12330475974191257,0.019873517905437798,0.503182176783296
1.665,0.10435291244386576,23.04083225901313,0.022193549678011983,0.09290166671748902,0.022193549678011983,0.45058136914021424
1.68,0.2128711792493564,22.97635505162295,0.01952068929376875,0.09483630785815424,0.01952068929376875,0.5122769923494518
1.695,0.47592738636868487,22.998320993663707,0.030006434351281606,0.12178065162281909,0.030006434351281606,0.3332618558716854
1.71,0.4936812787130828,22.95255871896529,0.03192561626294611,0.08502072794399106,0.03192561626294611,0.3132280961356514
1.725,0.43848460377439485,23.13004617656583,0.03848591285745325,0.0913641275115644,0.03848591285745325,0.2598353334384631
1.74,0.29893438265560823,23.198087659106886,0.05231943891757938,0.061691694392922734,0.05231943891757938,0.1911335481971308
1.755,0.34800937205158927,23.380101518578897,0.016777622696231714,0.10706764269559844,0.016777622696231714,0.5960319993514945
1.77,0.30523951733147336,23.40178508905646,0.04668173007115511,0.11532068504269745,0.04668173007115511,0.21421656791120203
1.785,0.40219123030342085,23.44249765345799,0.049537548425810395,0.11141791278152868,0.049537548425810395,0.20186707493158323
1.8,0.5944998157401837,23.582140923856237,0.044108660316133176,0.08985726094581083,0.044108660316133176,0.22671284796066232
1.815,0.36423942079963506,23.556313336660356,0.05091368838810306,0.11382400936908811,0.05091368838810306,0.1964108340329295
1.83,0.40527477847808785,23.576297547380108,0.03363088024595364,0.13542545566302375,0.03363088024595364,0.29734577052003175
1.845,0.48914889960046326,23.71685144510894,0.036404349000527005,0.10059867312926256,0.036404349000527005,0.2746924550101208
1.86,0.6249163433996714,23.682209919143567,0.0328993601299244,0.12580146397974237,0.0328993601299244,0.30395727942757955
1.875,0.5427321789774895,23.74191878253807,0.03483054728142894,0.1077604326031819,0.03483054728142894,0.28710430299014655
1.89,0.3416858474884624,23.836237737563927,0.05158906075237442,0.11954743343153747,0.05158906075237442,0.19383954377459264
1.905,0.3921248873224398,23.9678021336193,0.035978049493542295,0.11973693646955313,0.035978049493542295,0.27794725230435025
1.92,0.8105990991588273,24.18413258862327,0.03042584671683613,0.1040486741788436,0.03042584671683613,0.32866792806349426
1.935,0.43703821691793365,24.283842417066538,0.04137256342410989,0.10857699865779569,0.04137256342410989,0.24170607698367788
1.95,0.33292645422074973,24.375210932670672,0.04881895413724492,0.11990804814566536,0.04881895413724492,0.204838472612235
1.965,0.3083760433895658,24.461325061178627,0.06111849767554392,0.129572175798915,0.06111849767554392,0.16361658712696764
1.98,0.3172249537722341,24.551217596382717,0.05835092492016904,0.1322968808173854,0.05835092492016904,0.17137688928977873
1.995,0.4193422480342228,24.654223491157303,0.04428761051300409,0.12795679534697152,0.04428761051300409,0.22579678343819698
2.01,0.7629466085992392,24.787410431836776,0.02514882455744089,0.1093330210767317,0.02514882455744089,0.3976328983948977
2.025,0.4056119873723077,24.884824813969004,0.04805985849674603,0.12099187364282128,0.04805985849674603,0.20807385441380494
2.04,0.3382036845858484,24.947260022232072,0.04517129143632838,0.12305837866335471,0.04517129143632838,0.22137954621234585
2.055,0.32421783646044144,25.04707522852137,0.05728776373225471,0.1284202854542419,0.05728776373225471,0.17455734608069026
2.07,0.32446179112686085,25.148241358893287,0.06317486770230267,0.13214726352225978,0.06317486770230267,0.15829079448369796
2.085,0.32327804377296543,25.251450126383133,0.06263757344294499,0.13171833053220616,0.06263757344294499,0.15964858551087954
2.1,0.2789894963574481,25.35680836126649,0.07309004324670547,0.13554023726652092,0.07309004324670547,0.13681754115600075
2.115,0.4170136229176892,25.44834467993809,0.05392211028840088,0.15061403689591002,0.05392211028840088,0.1854526825177146
2.13,0.603798618047852,25.582586076814987,0.049621021575403934,0.13955572503413194,0.049621021575403934,0.20152749142425525
2.145,0.41289505287347306,25.68170591782232,0.04551285875236582,0.13524935610062175,0.04551285875236582,0.21971812525356227
2.16,0.17830052478979597,25.822643541872647,0.020128983982795466,0.1319258136408143,0.020128983982795466,0.49679606325620534
2.175,0.3380314648453492,26.02445188907828,0.050942781278258464,0.12839290460275282,0.050942781278258464,0.19629866585764597
2.19,0.37454743239793664,26.19287759822551,0.04715645141484002,0.14102617071116555,0.04715645141484002,0.21206006177243916
2.205,0.4741222626809313,26.336482190916566,0.04326449697917508,0.13019134704574603,0.04326449697917508,0.23113639816067658
2.22,0.6939624374026934,26.45599781267901,0.03274634023820346,0.11657650414146449,0.03274634023820346,0.3053776369285236
2.235,0.6321927100048461,26.57230100272316,0.04250542524942219,0.11677530721808083,0.04250542524942219,0.23526408549779038
2.25,0.6485567907508608,26.783045528968568,0.03910188298701912,0.11238984465305157,0.03910188298701912,0.25574215961210256
2.265,0.5639718294065899,27.055761337587583,0.04903098862193642,0.11566189364391098,0.04903098862193642,0.2039526487443904
2.28,0.5261529696374561,27.328243139336468,0.05216889467689316,0.11905905075728854,0.05216889467689316,0.19168510396731173
2.295,0.5429807416418145,27.611343277043872,0.037854654404006954,0.1219116539059451,0.037854654404006954,0.2641683078987901
2.31,0.6538078708169512,27.92043531854569,0.035626928845570616,0.1132855389930573,0.035626928845570616,0.2806865571642802
2.325,0.593913958201212,28.223683076203287,0.028269738003530012,0.11278204765786351,0.028269738003530012,0.3537351495352136
2.34,0.4518561631879725,28.5698729990816,0.023772375683114518,0.1226099475659637,0.023772375683114518,0.4206563169495502
2.355,0.583863917009842,29.0298351226608,0.023110498468989785,0.1178451743650973,0.023110498468989785,0.4327037780434826
2.37,0.6846249263047016,29.631847231730937,0.021499205369357746,0.11108885415300805,0.021499205369357746,0.4651334702003795
2.385,0.8367083512902023,30.10354131052613,0.03335659353835021,0.10614364680016873,0.03335659353835021,0.2997908041330108
2.4,0.636546738555819,30.166408081223935,0.026104630838207004,0.11100493960864266,0.026104630838207004,0.38307379491319593
2.415,0.3440188082889472,30.33180474972354,0.020399468660770498,0.10214288990722173,0.020399468660770498,0.4902088464309195
2.43,0.8053466256275461,30.58837031370664,0.009915280408489846,0.13184892063812995,0.009915280408489846,1.0085443465055828
2.445,0.7075950610496331,30.94341543470693,0.036122226849125166,0.1607374372044808,0.036122226849125166,0.2768378605717711
2.46,0.46787006746227294,30.81478867372499,0.03963809964861313,0.09058032400729397,0.03963809964861313,0.2522825283918444
2.475,0.4371411111703448,30.69035285704016,0.0564576004599739,0.09470355032864924,0.0564576004599739,0.1771240704267902
2.49,0.4220464474168124,30.737967741742008,0.04573614181016277,0.09541337309227663,0.04573614181016277,0.21864546514454694
2.505,0.40757573987583695,30.80768676095144,0.032982750032438266,0.09278700475745484,0.032982750032438266,0.3031887877804332
2.52,0.6878478035438327,30.834744231382967,0.013880678779228594,0.0840546411964538,0.013880678779228594,0.7204258638247762
2.535,0.8459405497606832,30.823744809832792,0.024652957683358387,0.09069062622043297,0.024652957683358387,0.4056308426939925
2.55,0.426143764733404,30.74561732906038,0.03925349632138505,0.11649710470900763,0.03925349632138505,0.25475437698914133
2.565,0.5303822912950433,30.83019452329048,0.0423993061029282,0.14414520834748115,0.0423993061029282,0.2358529164539647
2.58,0.6541045812794172,30.973615290228373,0.018744524961021032,0.16878263848661165,0.018744524961021032,0.5334891132634653
2.595,0.5588028724974179,31.26287268396496,0.02014639843671686,0.1653625081615209,0.02014639843671686,0.4963666350296625
2.61,0.33008546880837053,31.456113688170877,0.04088541605748128,0.14448263080506435,0.04088541605748128,0.24458599090543398
2.625,0.3678967061716164,31.44357847670244,0.05166848847825225,0.11872980861243755,0.05166848847825225,0.19354156265301034
2.64,0.4975980707818151,31.48644904448848,0.018964033909369835,0.11568107558490837,0.018964033909369835,0.5273139695800246
2.655,0.40538971372953536,31.050515443973215,0.03846294171274912,0.1701229402250832,0.03846294171274912,0.25999051436789483
2.67,0.36826907777865914,30.89341169964632,0.04351157089472666,0.15649215868685848,0.04351157089472666,0.22982392486344225
2.685,0.4283499272690597,31.105283125805517,0.0438782306478516,0.14873681899496866,0.0438782306478516,0.22790344670585816
2.7,0.5961530399433709,31.32118370969496,0.030889708321351184,0.12838449187804438,0.030889708321351184,0.32373241909467726
2.715,0.7329718746823782,31.514732236348944,0.025662461703230673,0.13514643163359427,0.025662461703230673,0.3896742298398088
2.73,0.332943338272692,31.496440404795656,0.0709818251269524,0.15137791691810087,0.0709818251269524,0.1408811337566314
2.745,0.33645579700261363,31.498281119956832,0.04966932760289364,0.15338502942907703,0.04966932760289364,0.20133149536369846
2.76,0.39451461210273087,31.59996839469432,0.051031663233009325,0.15011003693331337,0.051031663233009325,0.19595677206012754
