s,rho,L,cyc0,cyc1,cyc2,cyc3,cov1,cov2,cov3,krms,kmax,dq10,dq25,dq50,dq75,dq90
1.050000000000000044e+00,-4.146230232842456026e-04,1.170864682902151799e+01,3.260293843428323929e-02,4.040012976500594738e-02,3.302040201486533544e-02,3.143453524393940990e-02,5.477610536328183510e-01,4.079032302071804450e-01,4.433571616000168969e-02,2.574400322845249001e+00,1.161717569056859922e+01,4.572042919640665337e-01,8.492431618828895079e-01,1.271200122304076974e+00,1.756135328311465793e+00,2.095109694685064028e+00
1.100000000000000089e+00,3.022643354308812962e-03,1.180847475986664641e+01,3.211452714300892797e-02,3.941189936078854511e-02,3.273874990553951592e-02,3.231886963227421916e-02,5.511934142177636886e-01,4.039476254782819464e-01,4.485896030395441353e-02,2.589921382252996285e+00,1.137795965172658619e+01,4.575454625584350343e-01,8.503768680636072386e-01,1.267082260325497423e+00,1.758472312924729275e+00,2.098781054488177311e+00
1.150000000000000133e+00,6.553172520035030132e-03,1.190902640640176990e+01,3.170297571489782279e-02,3.837996139573161825e-02,3.255985743768099322e-02,3.402852535040354343e-02,5.549314222146276565e-01,3.997156442998240911e-01,4.535293348554825937e-02,2.603241786281264680e+00,1.078917821657373821e+01,4.616602625145252436e-01,8.502029365745262801e-01,1.267973289139645576e+00,1.754335381831987561e+00,2.099746659385528069e+00
1.199999999999999956e+00,1.010069190762647763e-02,1.200801317108721378e+01,3.135373893928456585e-02,3.732410728179558213e-02,3.253660659751367312e-02,3.645438012338222261e-02,5.589700946006792570e-01,3.952082120343825555e-01,4.582169336493836787e-02,2.614693192094835528e+00,1.091021080936512533e+01,4.659123964704420251e-01,8.463878307241687882e-01,1.265515769974804527e+00,1.752084308146990121e+00,2.095674270792228455e+00
1.250000000000000000e+00,1.358936726892217596e-02,1.210512567149940821e+01,3.106140807756927608e-02,3.625268635201387563e-02,3.266769133240095963e-02,3.916493482546029581e-02,5.632817065789772482e-01,3.904303074785135386e-01,4.628798594250933818e-02,2.625109767000542327e+00,1.125082285876444566e+01,4.699709527948783272e-01,8.432665426804448749e-01,1.265573913217048041e+00,1.751783270952534277e+00,2.098406317776481345e+00
1.300000000000000044e+00,1.700877369785935150e-02,1.220244538795618183e+01,3.085161142501969406e-02,3.516612401342195104e-02,3.288734972930233702e-02,4.181988773995945485e-02,5.678150027518114040e-01,3.854032889502416181e-01,4.678170829794707497e-02,2.635308285378922477e+00,1.140792590546635488e+01,4.726460345894162862e-01,8.437022387415999969e-01,1.262206225498514911e+00,1.749318895842062682e+00,2.102401029511845376e+00
1.350000000000000089e+00,2.045704699251920528e-02,1.230317944631500460e+01,3.079540098249917979e-02,3.407390484745102810e-02,3.310407036667683406e-02,4.446641140737379871e-02,5.725109874251357311e-01,3.801658041985773173e-01,4.732320837628689603e-02,2.646017959493105920e+00,1.132433156059508406e+01,4.766272609531161386e-01,8.508068956933063642e-01,1.261605211378346025e+00,1.752676206001987369e+00,2.105628383553390215e+00
1.400000000000000133e+00,2.404973551684270322e-02,1.240995819384772680e+01,3.097258373451079738e-02,3.300602036598081906e-02,3.324503788803242349e-02,4.750305147845961667e-02,5.773244313911569670e-01,3.747616340763899601e-01,4.791393453245307299e-02,2.657710563492160283e+00,1.098109129933175510e+01,4.809025236637842760e-01,8.467804836974852645e-01,1.260541311803863973e+00,1.751205753824575106e+00,2.110721298585554795e+00
1.449999999999999956e+00,2.777388280603083556e-02,1.252367223087198767e+01,3.141625916830503851e-02,3.200858779854365982e-02,3.326690815821734676e-02,5.155909866971948585e-02,5.822317648653706490e-01,3.692276683870739928e-01,4.854056674755517775e-02,2.670259394556538712e+00,1.151357589969619255e+01,4.858291272278214556e-01,8.405562439971101529e-01,1.258854466914589576e+00,1.746875763963139372e+00,2.113424164893595414e+00
1.500000000000000000e+00,3.148340714155443282e-02,1.264324110078216989e+01,3.213689151273167732e-02,3.113725104041564426e-02,3.315397536101158393e-02,5.739457646830118526e-02,5.872338643587453610e-01,3.635798575687396728e-01,4.918627807251450823e-02,2.682592686732424347e+00,1.209842098855030557e+01,4.900837403857342123e-01,8.400510318177822899e-01,1.258071689541446103e+00,1.747878479603748314e+00,2.111702237396168691e+00
1.550000000000000044e+00,3.510598566800163939e-02,1.276620166724850769e+01,3.314527574407933469e-02,3.046615627271288818e-02,3.292994843401846061e-02,6.560138893323848308e-02,5.923552158296234715e-01,3.578083844602409358e-01,4.983639971013574532e-02,2.692969405095757107e+00,1.219724200554931315e+01,4.940346305796101123e-01,8.390322052312078061e-01,1.261385530313583914e+00,1.745765125605049484e+00,2.108106539741976260e+00
1.600000000000000089e+00,3.869613152967400771e-02,1.288992783259800490e+01,3.427924376326649258e-02,3.010248751555407928e-02,3.265022424286932040e-02,7.619176220851932302e-02,5.976285601815618520e-01,3.518932659133147123e-01,5.047817390512371327e-02,2.700572124475871139e+00,1.164227996135728382e+01,4.954400403058454305e-01,8.378448614289562002e-01,1.262197600470830849e+00,1.743604715265324456e+00,2.107971905614888897e+00
1.650000000000000133e+00,4.221409311635419132e-02,1.301149033500153607e+01,3.527246362555879616e-02,3.020157563889605198e-02,3.238436478077916236e-02,8.809693718553184005e-02,6.030579642334126245e-01,3.458329977460721794e-01,5.110903802051481454e-02,2.707069565987428650e+00,1.048418345781052707e+01,4.942945744156458932e-01,8.389385255165836552e-01,1.264373210770608935e+00,1.742854509041431132e+00,2.103375433054677668e+00
1.699999999999999956e+00,4.562488352622425664e-02,1.312824006902093821e+01,3.625522443808219114e-02,3.096790410277036609e-02,3.217711291302034760e-02,9.902022496770998550e-02,6.085924756338221275e-01,3.396496365214323743e-01,5.175788784474543575e-02,2.715745741186919915e+00,9.783579330723839007e+00,4.944383131376394180e-01,8.395093862132254614e-01,1.257911068600554350e+00,1.739124074238360240e+00,2.108863082815973566e+00
