R0,level,Re,delta,Eproxy,Dproxy,ImpulseProxy,tau
1.000000000000000000e+08,4.000000000000000000e+00,3.162277660168379523e+00,3.162277660168379191e-08,3.162277660168379721e-07,9.999999999999999547e-08,3.162277660168379017e-15,3.162277660168378820e-16
1.000000000000000000e+08,5.000000000000000000e+00,1.778279410038922759e+00,1.778279410038922821e-08,5.623413251903490494e-08,3.162277660168379191e-08,5.623413251903490212e-16,1.778279410038922825e-16
1.000000000000000000e+08,6.000000000000000000e+00,1.333521432163323972e+00,1.333521432163324177e-08,2.371373705661655437e-08,1.778279410038922821e-08,2.371373705661655446e-16,1.333521432163324383e-16
1.000000000000000000e+16,0.000000000000000000e+00,1.000000000000000000e+16,1.000000000000000000e+00,1.000000000000000054e+32,1.000000000000000000e+16,1.000000000000000000e+16,9.999999999999999791e-17
1.000000000000000000e+16,1.000000000000000000e+00,1.000000000000000000e+08,1.000000000000000021e-08,1.000000000000000000e+08,1.000000000000000000e+00,1.000000000000000021e-08,1.000000000000000107e-24
1.000000000000000000e+16,2.000000000000000000e+00,1.000000000000000000e+04,9.999999999999999799e-13,9.999999999999999124e-05,1.000000000000000021e-08,9.999999999999999452e-21,9.999999999999999712e-29
1.000000000000000000e+16,3.000000000000000000e+00,1.000000000000000000e+02,9.999999999999999988e-15,1.000000000000000036e-10,9.999999999999999799e-13,1.000000000000000038e-26,9.999999999999999082e-31
1.000000000000000000e+16,4.000000000000000000e+00,1.000000000000000000e+01,1.000000000000000078e-15,1.000000000000000030e-13,1.000000000000000157e-14,1.000000000000000223e-29,1.000000000000000083e-31
1.000000000000000000e+16,5.000000000000000000e+00,3.162277660168379523e+00,3.162277660168379313e-16,3.162277660168379806e-15,1.000000000000000078e-15,3.162277660168379582e-31,3.162277660168379472e-32
1.000000000000000000e+16,6.000000000000000000e+00,1.778279410038922759e+00,1.778279410038922825e-16,5.623413251903490212e-16,3.162277660168379313e-16,5.623413251903491193e-32,1.778279410038922970e-32
1.000000000000000000e+16,7.000000000000000000e+00,1.333521432163323972e+00,1.333521432163324136e-16,2.371373705661655446e-16,1.778279410038922825e-16,2.371373705661655390e-32,1.333521432163324129e-32
1.000000000000000054e+32,0.000000000000000000e+00,1.000000000000000054e+32,1.000000000000000000e+00,1.000000000000000167e+64,1.000000000000000054e+32,1.000000000000000054e+32,9.999999999999999191e-33
1.000000000000000054e+32,1.000000000000000000e+00,1.000000000000000000e+16,9.999999999999999791e-17,1.000000000000000000e+16,1.000000000000000000e+00,9.999999999999999791e-17,9.999999999999999744e-49
1.000000000000000054e+32,2.000000000000000000e+00,1.000000000000000000e+08,9.999999999999999237e-25,9.999999999999998555e-09,9.999999999999999791e-17,9.999999999999999293e-41,9.999999999999998135e-57
1.000000000000000054e+32,3.000000000000000000e+00,1.000000000000000000e+04,9.999999999999999712e-29,9.999999999999999452e-21,9.999999999999999237e-25,9.999999999999998222e-53,9.999999999999999704e-61
1.000000000000000054e+32,4.000000000000000000e+00,1.000000000000000000e+02,9.999999999999999082e-31,9.999999999999998950e-27,9.999999999999998591e-29,9.999999999999998488e-59,9.999999999999998236e-63
1.000000000000000054e+32,5.000000000000000000e+00,1.000000000000000000e+01,9.999999999999998644e-32,9.999999999999998031e-30,9.999999999999999082e-31,9.999999999999996941e-62,9.999999999999997966e-64
1.000000000000000054e+32,6.000000000000000000e+00,3.162277660168379523e+00,3.162277660168378925e-32,3.162277660168379582e-31,9.999999999999998644e-32,3.162277660168378250e-63,3.162277660168378655e-64
1.000000000000000054e+32,7.000000000000000000e+00,1.778279410038922759e+00,1.778279410038922696e-32,5.623413251903490098e-32,3.162277660168378925e-32,5.623413251903489489e-64,1.778279410038922454e-64
1.000000000000000054e+32,8.000000000000000000e+00,1.333521432163323972e+00,1.333521432163324129e-32,2.371373705661655390e-32,1.778279410038922970e-32,2.371373705661655552e-64,1.333521432163324242e-64
