Re_parent,m,ell_grad_over_delta,tau_diff_ell_over_tau_nl,Re_sub_if_parent_amplitude,Re_target_next,required_vorticity_amplitude_boost,log_boost
1.000000000000000000e+02,4.000000000000000000e+00,1.000000000000000021e-02,1.000000000000000021e-02,1.000000000000000021e-02,4.000000000000000000e+02,4.000000000000000000e+04,1.059663473309607262e+01
1.122018454301964141e+02,1.000000000000000000e+00,8.912509381337450215e-03,8.912509381337450215e-03,8.912509381337450215e-03,1.122018454301964141e+02,1.258925411794168758e+04,9.440598881275588994e+00
1.122018454301964141e+02,2.000000000000000000e+00,8.912509381337450215e-03,8.912509381337450215e-03,8.912509381337450215e-03,2.244036908603928282e+02,2.517850823588337516e+04,1.013374606183553439e+01
1.122018454301964141e+02,4.000000000000000000e+00,8.912509381337450215e-03,8.912509381337450215e-03,8.912509381337450215e-03,4.488073817207856564e+02,5.035701647176675033e+04,1.082689324239547979e+01
1.258925411794167530e+02,1.000000000000000000e+00,7.943282347242813790e-03,7.943282347242813790e-03,7.943282347242813790e-03,1.258925411794167530e+02,1.584893192461114086e+04,9.670857390574992607e+00
1.258925411794167530e+02,2.000000000000000000e+00,7.943282347242813790e-03,7.943282347242813790e-03,7.943282347242813790e-03,2.517850823588335061e+02,3.169786384922228171e+04,1.036400457113493800e+01
1.258925411794167530e+02,4.000000000000000000e+00,7.943282347242813790e-03,7.943282347242813790e-03,7.943282347242813790e-03,5.035701647176670122e+02,6.339572769844456343e+04,1.105715175169488340e+01
1.412537544622753956e+02,1.000000000000000000e+00,7.079457843841381257e-03,7.079457843841381257e-03,7.079457843841381257e-03,1.412537544622753956e+02,1.995262314968878491e+04,9.901115899874396220e+00
1.412537544622753956e+02,2.000000000000000000e+00,7.079457843841381257e-03,7.079457843841381257e-03,7.079457843841381257e-03,2.825075089245507911e+02,3.990524629937756981e+04,1.059426308043434162e+01
1.412537544622753956e+02,4.000000000000000000e+00,7.079457843841381257e-03,7.079457843841381257e-03,7.079457843841381257e-03,5.650150178491015822e+02,7.981049259875513962e+04,1.128741026099428701e+01
1.584893192461114211e+02,1.000000000000000000e+00,6.309573444801929408e-03,6.309573444801929408e-03,6.309573444801929408e-03,1.584893192461114211e+02,2.511886431509582326e+04,1.013137440917380161e+01
1.584893192461114211e+02,2.000000000000000000e+00,6.309573444801929408e-03,6.309573444801929408e-03,6.309573444801929408e-03,3.169786384922228422e+02,5.023772863019164652e+04,1.082452158973374701e+01
1.584893192461114211e+02,4.000000000000000000e+00,6.309573444801929408e-03,6.309573444801929408e-03,6.309573444801929408e-03,6.339572769844456843e+02,1.004754572603832930e+05,1.151766877029369240e+01
1.778279410038922776e+02,1.000000000000000000e+00,5.623413251903490971e-03,5.623413251903490971e-03,5.623413251903490971e-03,1.778279410038922776e+02,3.162277660168379225e+04,1.036163291847320522e+01
1.778279410038922776e+02,2.000000000000000000e+00,5.623413251903490971e-03,5.623413251903490971e-03,5.623413251903490971e-03,3.556558820077845553e+02,6.324555320336758450e+04,1.105478009903315062e+01
